Name;Sex;Age;Height;Weight;Team;Sport;Event;Medal
Carlos Arnoldo Salcido Flores;M;32;175;154,3235834;Mexico;Football;Football Men's Football;Gold
Behdad Salimi Kordasiabi;M;22;192;352,7396192;Iran;Weightlifting;Weightlifting Men's Super-Heavyweight;Gold
Max Salminen;M;23;197;216,0530168;Sweden;Sailing;Sailing Men's Two Person Keelboat;Gold
Ilaria Salvatori;F;33;160;123,4588667;Italy;Fencing;Fencing Women's Foil, Team;Gold
Luigi Samele;M;25;191;160,9374513;Italy;Fencing;Fencing Men's Sabre, Team;Bronze
Aya Sameshima;F;25;163;119,0496215;Japan;Football;Football Women's Football;Silver
Fernando San Emeterio Lara;M;28;199;231,4853751;Spain;Basketball;Basketball Men's Basketball;Silver
Flix Snchez Marcelo;M;34;178;141,0958477;Dominican Republic;Athletics;Athletics Men's 400 metres Hurdles;Gold
Germn Sal Snchez Snchez;M;20;165;110,231131;Mexico;Diving;Diving Men's Synchronized Platform;Silver
Laura Aleida Snchez Soto;F;26;165;121,2542441;Mexico;Diving;Diving Women's Springboard;Bronze
Roco Mara Snchez Moccia;F;23;157;119,0496215;Argentina;Hockey;Hockey Women's Hockey;Silver
Sandro Raniere Guimares Cordeiro;M;23;187;165,3466965;Brazil;Football;Football Men's Football;Silver
Kseniya Andreyevna Sankovich;F;22;172;119,0496215;Belarus;Rhythmic Gymnastics;Rhythmic Gymnastics Women's Group;Silver
Yuko Sano;F;32;159;116,8449989;Japan;Volleyball;Volleyball Women's Volleyball;Bronze
Elisa Santoni;F;24;176;123,4588667;Italy;Rhythmic Gymnastics;Rhythmic Gymnastics Women's Group;Bronze
Lugueln Miguel Santos Aquino;M;18;173;127,868112;Dominican Republic;Athletics;Athletics Men's 400 metres;Silver
Serik Zhumangaliyevich Sapiyev;M;28;179;141,0958477;Kazakhstan;Boxing;Boxing Men's Welterweight;Gold
Aleksa aponji;M;20;191;216,0530168;Serbia;Water Polo;Water Polo Men's Water Polo;Bronze
Mauro Sarmiento;M;29;196;176,3698096;Italy;Taekwondo;Taekwondo Men's Welterweight;Bronze
Alessio Sartori;M;35;200;220,462262;Italy;Rowing;Rowing Men's Double Sculls;Silver
"William Spencer ""Will"" Satch";M;23;198;220,462262;Great Britain;Rowing;Rowing Men's Coxless Pairs;Bronze
Martin Sauer;M;29;169;121,2542441;Germany;Rowing;Rowing Men's Coxed Eights;Gold
"Rebecca Elizabeth ""Becky"" Sauerbrunn";F;27;170;141,0958477;United States;Football;Football Women's Football;Gold
Cristian Savani;M;30;195;209,4391489;Italy;Volleyball;Volleyball Men's Volleyball;Bronze
Maja Savi;F;36;176;145,5050929;Montenegro;Handball;Handball Women's Handball;Silver
Mariya Sergeyevna Savinova (-Farnosova);F;26;172;132,2773572;Russia;Athletics;Athletics Women's 800 metres;Gold
"Anzhelika ""Angelica"" Savrayuk";F;22;175;108,0265084;Italy;Rhythmic Gymnastics;Rhythmic Gymnastics Women's Group;Bronze
Homare Sawa;F;33;164;121,2542441;Japan;Football;Football Women's Football;Silver
Saynjargalyn Nyam-Ochir;M;26;174;160,9374513;Mongolia;Judo;Judo Men's Lightweight;Bronze
"Mohamed Karim ""Moe"" Sbihi";M;24;202;242,5084882;Great Britain;Rowing;Rowing Men's Coxed Eights;Bronze
"Susannah ""Susie"" Scanlan";F;22;170;127,868112;United States;Fencing;Fencing Women's epee, Team;Bronze
"Mariela Carla ""Maru"" Scarone";F;25;163;132,2773572;Argentina;Hockey;Hockey Women's Hockey;Silver
Robert Scheidt;M;39;188;167,5513191;Brazil;Sailing;Sailing Men's Two Person Keelboat;Bronze
Anne Schellekens;F;26;163;105,8218858;Netherlands;Rowing;Rowing Women's Coxed Eights;Bronze
"Melanie Rene ""Mel"" Schlanger (-Wright)";F;25;176;143,3004703;Australia;Swimming;Swimming Women's 4 x 100 metres Freestyle Relay;Gold
"Melanie Rene ""Mel"" Schlanger (-Wright)";F;25;176;143,3004703;Australia;Swimming;Swimming Women's 4 x 200 metres Freestyle Relay;Silver
"Melanie Rene ""Mel"" Schlanger (-Wright)";F;25;176;143,3004703;Australia;Swimming;Swimming Women's 4 x 100 metres Medley Relay;Silver
Richard Schmidt;M;25;191;191,8021679;Germany;Rowing;Rowing Men's Coxed Eights;Gold
Sophie Diana Schmidt;F;24;172;156,528206;Canada;Football;Football Women's Football;Bronze
Allison Rodgers Schmitt;F;22;185;165,3466965;United States;Swimming;Swimming Women's 200 metres Freestyle;Gold
Allison Rodgers Schmitt;F;22;185;165,3466965;United States;Swimming;Swimming Women's 400 metres Freestyle;Silver
Allison Rodgers Schmitt;F;22;185;165,3466965;United States;Swimming;Swimming Women's 4 x 100 metres Freestyle Relay;Bronze
Allison Rodgers Schmitt;F;22;185;165,3466965;United States;Swimming;Swimming Women's 4 x 200 metres Freestyle Relay;Gold
Allison Rodgers Schmitt;F;22;185;165,3466965;United States;Swimming;Swimming Women's 4 x 100 metres Medley Relay;Gold
Dorothee Schneider (-Krumhoff);F;43;169;138,8912251;Germany;Equestrianism;Equestrianism Mixed Dressage, Team;Silver
"Jonathan Michael ""Jon"" Schofield";M;27;182;176,3698096;Great Britain;Canoeing;Canoeing Men's Kayak Doubles, 200 metres;Bronze
Lauritz Schoof;M;21;195;216,0530168;Germany;Rowing;Rowing Men's Quadruple Sculls;Gold
Dirk Schrade;M;34;183;149,9143382;Germany;Equestrianism;Equestrianism Mixed Three-Day Event, Team;Gold
Hinkelien Schreuder;F;28;179;134,4819798;Netherlands;Swimming;Swimming Women's 4 x 100 metres Freestyle Relay;Silver
Gerco Bernardus Schrder;M;33;165;156,528206;Netherlands;Equestrianism;Equestrianism Mixed Jumping, Individual;Silver
Gerco Bernardus Schrder;M;33;165;156,528206;Netherlands;Equestrianism;Equestrianism Mixed Jumping, Team;Silver
Karl Schulze;M;24;190;220,462262;Germany;Rowing;Rowing Men's Quadruple Sculls;Gold
Nino Schurter;M;26;173;149,9143382;Switzerland;Cycling;Cycling Men's Mountainbike, Cross-Country;Silver
Lilli Schwarzkopf;F;28;174;143,3004703;Germany;Athletics;Athletics Women's Heptathlon;Silver
Coleman Lewis Scott;M;26;173;132,2773572;United States;Wrestling;Wrestling Men's Lightweight, Freestyle;Bronze
Desiree Rose Marie Scott;F;24;160;136,6866024;Canada;Football;Football Women's Football;Bronze
Danielle Raquel Scott-Arruda;F;39;188;187,3929227;United States;Volleyball;Volleyball Women's Volleyball;Silver
Rebecca Scown;F;28;178;154,3235834;New Zealand;Rowing;Rowing Women's Coxless Pairs;Bronze
"Jennifer ""Jenni"" Screen (-Mottram)";F;30;180;152,1189608;Australia;Basketball;Basketball Women's Basketball;Bronze
"Gregory Mark Pascoe ""Greg"" Searle";M;40;196;220,462262;Great Britain;Rowing;Rowing Men's Coxed Eights;Bronze
Emily Jane Seebohm;F;20;180;154,3235834;Australia;Swimming;Swimming Women's 4 x 100 metres Freestyle Relay;Gold
Emily Jane Seebohm;F;20;180;154,3235834;Australia;Swimming;Swimming Women's 100 metres Backstroke;Silver
Emily Jane Seebohm;F;20;180;154,3235834;Australia;Swimming;Swimming Women's 4 x 100 metres Medley Relay;Silver
Melissa Seidemann;F;22;183;229,2807525;United States;Water Polo;Water Polo Women's Water Polo;Gold
Mokgadi Caster Semenya;F;21;178;154,3235834;South Africa;Athletics;Athletics Women's 800 metres;Silver
Mingiyan Arturovich Semyonov;M;22;155;121,2542441;Russia;Wrestling;Wrestling Men's Featherweight, Greco-Roman;Bronze
Jesse Harold Sergent;M;24;188;171,9605644;New Zealand;Cycling;Cycling Men's Team Pursuit, 4,000 metres;Bronze
Lauren Marie Sesselmann;F;28;173;156,528206;Canada;Football;Football Women's Football;Bronze
Karolina Andreyevna Sevastyanova;F;17;173;112,4357536;Russia;Rhythmic Gymnastics;Rhythmic Gymnastics Women's Group;Gold
Torul sgrov;M;19;170;143,3004703;Azerbaijan;Wrestling;Wrestling Men's Lightweight, Freestyle;Gold
Aida Vladimirovna Shanayeva;F;26;173;138,8912251;Russia;Fencing;Fencing Women's Foil, Team;Silver
Eric Lee Shanteau;M;28;188;176,3698096;United States;Swimming;Swimming Men's 4 x 100 metres Medley Relay;Gold
Mariya Yuryevna Sharapova;F;25;188;130,0727346;Russia;Tennis;Tennis Women's Singles;Silver
Abdullah Waleed Al-Sharbatly;M;29;;;Saudi Arabia;Equestrianism;Equestrianism Mixed Jumping, Team;Bronze
Lasha Shavdatuashvili;M;20;170;165,3466965;Georgia;Judo;Judo Men's Half-Lightweight;Gold
Sheilla Tavares de Castro Blassioli;F;29;185;143,3004703;Brazil;Volleyball;Volleyball Women's Volleyball;Gold
Taras Oleksandrovych Shelestiuk;M;26;179;152,1189608;Ukraine;Boxing;Boxing Men's Welterweight;Bronze
Yana Volodymyrivna Shemiakina;F;26;168;132,2773572;Ukraine;Fencing;Fencing Women's epee, Individual;Gold
Claressa Maria Shields;F;17;175;165,3466965;United States;Boxing;Boxing Women's Middleweight;Gold
Satoshi Shimizu;M;26;179;132,2773572;Japan;Boxing;Boxing Men's Bantamweight;Bronze
Risa Shinnabe;F;22;173;145,5050929;Japan;Volleyball;Volleyball Women's Volleyball;Bronze
Alla Anatolyevna Shishkina;F;22;170;119,0496215;Russia;Synchronized Swimming;Synchronized Swimming Women's Team;Gold
Marina Ivanovna Shkermankova;F;22;161;152,1189608;Belarus;Weightlifting;Weightlifting Women's Light-Heavyweight;Bronze
Svetlana Vladimirovna Shkolina;F;26;187;145,5050929;Russia;Athletics;Athletics Women's High Jump;Bronze
Ivan Aleksandrovich Shtyl;M;26;180;189,5975453;Russia;Canoeing;Canoeing Men's Canadian Singles, 200 metres;Bronze
Aleksey Viktorovich Shved;M;23;198;189,5975453;Russia;Basketball;Basketball Men's Basketball;Bronze
Si Tianfeng;M;28;181;147,7097155;China;Athletics;Athletics Men's 50 kilometres Walk;Bronze
"Sidnei ""Sido"" dos Santos Junior";M;30;203;216,0530168;Brazil;Volleyball;Volleyball Men's Volleyball;Silver
Emanuel Eduardo Pimenta Vieira da Silva;M;26;186;191,8021679;Portugal;Canoeing;Canoeing Men's Kayak Doubles, 1,000 metres;Silver
Thiago Emiliano da Silva;M;27;183;158,7328286;Brazil;Football;Football Men's Football;Silver
Yarisley Silva Rodrguez;F;25;161;134,4819798;Cuba;Athletics;Athletics Women's Pole Vault;Silver
Andrew James Simpson;M;35;185;229,2807525;Great Britain;Sailing;Sailing Men's Two Person Keelboat;Silver
Sherone Anmarica Simpson;F;27;163;130,0727346;Jamaica;Athletics;Athletics Women's 4 x 100 metres Relay;Silver
Sin A-Lam;F;25;168;123,4588667;South Korea;Fencing;Fencing Women's epee, Team;Silver
Christine Margaret Sinclair;F;29;176;165,3466965;Canada;Football;Football Women's Football;Bronze
Martin Sinkovi;M;22;188;209,4391489;Croatia;Rowing;Rowing Men's Quadruple Sculls;Silver
Valent Sinkovi;M;23;187;205,0299037;Croatia;Rowing;Rowing Men's Quadruple Sculls;Silver
Kvin Ren Michel Sireau;M;25;188;198,4160358;France;Cycling;Cycling Men's Team Sprint;Silver
Pimsiri Sirikaew;F;22;152;127,868112;Thailand;Weightlifting;Weightlifting Women's Lightweight;Silver
Nicolae Alexandru Sirieanu;M;28;182;178,5744322;Romania;Fencing;Fencing Men's Sabre, Team;Silver
Johan Charlie Sjstrand;M;25;195;209,4391489;Sweden;Handball;Handball Men's Handball;Silver
"Nicholas David ""Nick"" Skelton";M;54;175;167,5513191;Great Britain;Equestrianism;Equestrianism Mixed Jumping, Team;Gold
Tom Slingsby;M;27;186;178,5744322;Australia;Sailing;Sailing Men's One Person Dinghy;Gold
Jnis mdi;M;24;190;196,2114132;Latvia-1;Beach Volleyball;Beach Volleyball Men's Beach Volleyball;Bronze
"David ""Dave"" Smith";M;25;183;187,3929227;Australia;Canoeing;Canoeing Men's Kayak Fours, 1,000 metres;Gold
John Smith;M;22;192;158,7328286;South Africa;Rowing;Rowing Men's Lightweight Coxless Fours;Gold
Louis Antoine Smith;M;23;184;167,5513191;Great Britain;Gymnastics;Gymnastics Men's Team All-Around;Bronze
Louis Antoine Smith;M;23;184;167,5513191;Great Britain;Gymnastics;Gymnastics Men's Pommelled Horse;Silver
Sophie Smith;F;26;181;149,9143382;Australia;Water Polo;Water Polo Women's Water Polo;Bronze
Tate Smith;M;30;187;202,825281;Australia;Canoeing;Canoeing Men's Kayak Fours, 1,000 metres;Gold
Laura Smulders;F;18;170;160,9374513;Netherlands;Cycling;Cycling Women's BMX;Bronze
Belinda Rose Snell;F;31;180;176,3698096;Australia;Basketball;Basketball Women's Basketball;Bronze
Gril Snorroeggen;F;27;177;;Norway;Handball;Handball Women's Handball;Gold
Rishod Rashidovich Sobirov;M;25;168;145,5050929;Uzbekistan;Judo;Judo Men's Extra-Lightweight;Bronze
Aleksandr Sergeyevich Sokolov;M;30;193;213,8483941;Russia;Volleyball;Volleyball Men's Volleyball;Gold
Yelena Aleksandrovna Sokolova (Kremnyova-);F;26;170;134,4819798;Russia;Athletics;Athletics Women's Long Jump;Silver
Hope Amelia Solo (-Stevens);F;30;175;152,1189608;United States;Football;Football Women's Football;Gold
Jarrin Solomon;M;26;165;160,9374513;Trinidad and Tobago;Athletics;Athletics Men's 4 x 400 metres Relay;Bronze
Joyce Sombroek;F;21;179;141,0958477;Netherlands;Hockey;Hockey Women's Hockey;Gold
Song Dae-Nam;M;33;178;187,3929227;South Korea;Judo;Judo Men's Middleweight;Gold
Rebecca Soni;F;25;173;134,4819798;United States;Swimming;Swimming Women's 100 metres Breaststroke;Silver
Rebecca Soni;F;25;173;134,4819798;United States;Swimming;Swimming Women's 200 metres Breaststroke;Gold
Rebecca Soni;F;25;173;134,4819798;United States;Swimming;Swimming Women's 4 x 100 metres Medley Relay;Gold
Chanatip Sonkham;F;21;166;108,0265084;Thailand;Taekwondo;Taekwondo Women's Flyweight;Bronze
Cdric Sorhaindo;M;28;192;242,5084882;France;Handball;Handball Men's Handball;Gold
Slobodan Soro;M;33;196;220,462262;Serbia;Water Polo;Water Polo Men's Water Polo;Bronze
Valeriya Mikhaylovna Sorokina;F;28;170;123,4588667;Russia;Badminton;Badminton Women's Doubles;Bronze
Soronzonboldyn Battsetseg;F;22;170;147,7097155;Mongolia;Wrestling;Wrestling Women's Middleweight, Freestyle;Bronze
Hamid Mohammad Sourian Reihanpour;M;26;167;141,0958477;Iran;Wrestling;Wrestling Men's Featherweight, Greco-Roman;Gold
"Ashleigh ""Ash"" Southern";F;19;188;180,7790548;Australia;Water Polo;Water Polo Women's Water Polo;Bronze
Luka pik;M;33;196;209,4391489;Slovenia;Rowing;Rowing Men's Double Sculls;Bronze
Nicola Spirig Hug;F;30;166;119,0496215;Switzerland;Triathlon;Triathlon Women's Olympic Distance;Gold
Sabine Spitz;F;40;167;132,2773572;Germany;Cycling;Cycling Women's Mountainbike, Cross-Country;Silver
Barbora potkov;F;31;182;176,3698096;Czech Republic;Athletics;Athletics Women's Javelin Throw;Gold
Christian David Sprenger;M;26;196;202,825281;Australia;Swimming;Swimming Men's 100 metres Breaststroke;Silver
Christian David Sprenger;M;26;196;202,825281;Australia;Swimming;Swimming Men's 4 x 100 metres Medley Relay;Bronze
"Daniela Lucia ""Dani"" Sruoga";F;24;171;141,0958477;Argentina;Hockey;Hockey Women's Hockey;Silver
"Mara Josefina ""Jose"" Sruoga";F;21;171;132,2773572;Argentina;Hockey;Hockey Women's Hockey;Silver
rif rifov;M;23;180;213,8483941;Azerbaijan;Wrestling;Wrestling Men's Light-Heavyweight, Freestyle;Gold
Mariya Stadnik;F;24;157;105,8218858;Azerbaijan;Wrestling;Wrestling Women's Flyweight, Freestyle;Silver
Linda Stahl;F;26;176;174,165187;Germany;Athletics;Athletics Women's Javelin Throw;Bronze
Heather Mary Stanning;F;27;181;158,7328286;Great Britain;Rowing;Rowing Women's Coxless Pairs;Gold
Andreea Stefanescu;F;18;173;;Italy;Rhythmic Gymnastics;Rhythmic Gymnastics Women's Group;Bronze
Zuzana tefeekov;F;28;166;143,3004703;Slovakia;Shooting;Shooting Women's Trap;Silver
Jessica Marie Steffens;F;25;183;165,3466965;United States;Water Polo;Water Polo Women's Water Polo;Gold
"Margaret Ann ""Maggie"" Steffens";F;19;173;163,1420739;United States;Water Polo;Water Polo Women's Water Polo;Gold
Bastian Steger;M;31;170;143,3004703;Germany;Table Tennis;Table Tennis Men's Team;Bronze
Jan trba;M;31;183;187,3929227;Czech Republic;Canoeing;Canoeing Men's Kayak Fours, 1,000 metres;Bronze
Chelsea Blaine Stewart;F;22;165;119,0496215;Canada;Football;Football Women's Football;Bronze
Kerron Stewart;F;28;175;134,4819798;Jamaica;Athletics;Athletics Women's 4 x 100 metres Relay;Silver
Murray Stewart;M;26;186;189,5975453;Australia;Canoeing;Canoeing Men's Kayak Fours, 1,000 metres;Gold
"Jacob Petrus ""Jaap"" Stockmann";M;28;193;176,3698096;Netherlands;Hockey;Hockey Men's Hockey;Silver
Hayden Ernest Stoeckel;M;27;197;209,4391489;Australia;Swimming;Swimming Men's 4 x 100 metres Medley Relay;Bronze
David Storl;M;21;198;257,9408465;Germany;Athletics;Athletics Men's Shot Put;Silver
"Elizabeth Louise ""Beth"" Storry";F;34;173;163,1420739;Great Britain;Hockey;Hockey Women's Hockey;Bronze
Etienne Stott;M;33;182;182,9836775;Great Britain-1;Canoeing;Canoeing Men's Canadian Doubles, Slalom;Gold
Thilo Stralkowski;M;25;190;202,825281;Germany;Hockey;Hockey Men's Hockey;Gold
Jrmy Stravius;M;24;190;189,5975453;France;Swimming;Swimming Men's 4 x 100 metres Freestyle Relay;Gold
Jrmy Stravius;M;24;190;189,5975453;France;Swimming;Swimming Men's 4 x 200 metres Freestyle Relay;Silver
Manuel trlek;M;23;182;180,7790548;Croatia;Handball;Handball Men's Handball;Bronze
Mris trombergs;M;25;186;198,4160358;Latvia;Cycling;Cycling Men's BMX;Gold
"Jennifer ""Jenn"" Stuczynski-Suhr";F;30;183;145,5050929;United States;Athletics;Athletics Women's Pole Vault;Gold
Khrystyna Petrivna Stuy;F;24;168;132,2773572;Ukraine;Athletics;Athletics Women's 4 x 100 metres Relay;Bronze
Leonel Surez Fajardo;M;24;181;149,9143382;Cuba;Athletics;Athletics Men's Decathlon;Bronze
Mika Sugimoto;F;27;165;220,462262;Japan;Judo;Judo Women's Heavyweight;Silver
Sui Lu;F;20;153;94,79877266;China;Gymnastics;Gymnastics Women's Balance Beam;Silver
Jevgenijus uklinas;M;26;196;240,3038656;Lithuania;Canoeing;Canoeing Men's Canadian Singles, 200 metres;Silver
Sandro Sukno;M;22;200;205,0299037;Croatia;Water Polo;Water Polo Men's Water Polo;Gold
Linn Jrum Sulland;F;28;178;;Norway;Handball;Handball Women's Handball;Gold
Joseph Sullivan;M;25;182;180,7790548;New Zealand;Rowing;Rowing Men's Double Sculls;Gold
Laura Ann Summerton-Hodges;F;28;190;171,9605644;Australia;Basketball;Basketball Women's Basketball;Bronze
Sun Wenyan;F;22;170;127,868112;China;Synchronized Swimming;Synchronized Swimming Women's Team;Silver
Sun Yang;M;20;198;196,2114132;China;Swimming;Swimming Men's 200 metres Freestyle;Silver
Sun Yang;M;20;198;196,2114132;China;Swimming;Swimming Men's 400 metres Freestyle;Gold
Sun Yang;M;20;198;196,2114132;China;Swimming;Swimming Men's 1,500 metres Freestyle;Gold
Sun Yang;M;20;198;196,2114132;China;Swimming;Swimming Men's 4 x 200 metres Freestyle Relay;Bronze
Sun Yujie;F;19;185;171,9605644;China;Fencing;Fencing Women's epee, Individual;Bronze
Sun Yujie;F;19;185;171,9605644;China;Fencing;Fencing Women's epee, Team;Gold
Satomi Suzuki;F;21;168;136,6866024;Japan;Swimming;Swimming Women's 100 metres Breaststroke;Bronze
Satomi Suzuki;F;21;168;136,6866024;Japan;Swimming;Swimming Women's 200 metres Breaststroke;Silver
Satomi Suzuki;F;21;168;136,6866024;Japan;Swimming;Swimming Women's 4 x 100 metres Medley Relay;Bronze
David Svoboda;M;27;183;167,5513191;Czech Republic;Modern Pentathlon;Modern Pentathlon Men's Individual;Gold
Matthew Swann;M;23;170;141,0958477;Australia;Hockey;Hockey Men's Hockey;Bronze
Adla Skorov-Bruns;F;25;171;132,2773572;Czech Republic;Shooting;Shooting Women's Small-Bore Rifle, Three Positions, 50 metres;Bronze
Ondej Synek;M;29;199;231,4853751;Czech Republic;Rowing;Rowing Men's Single Sculls;Silver
Gabriella Timea Szab;F;25;170;136,6866024;Hungary;Canoeing;Canoeing Women's Kayak Fours, 500 metres;Gold
ron Szilgyi;M;22;180;171,9605644;Hungary;Fencing;Fencing Men's Sabre, Individual;Gold
Megumi Takase;F;21;164;138,8912251;Japan;Football;Football Women's Football;Silver
Yoshie Takeshita (-Egusa);F;34;159;116,8449989;Japan;Volleyball;Volleyball Women's Volleyball;Bronze
Jared Tallent;M;27;178;127,868112;Australia;Athletics;Athletics Men's 50 kilometres Walk;Silver
Lauren Tamayo (Franges-);F;28;175;143,3004703;United States;Cycling;Cycling Women's Team Pursuit;Silver
Asuna Tanaka;F;24;164;114,6403762;Japan;Football;Football Women's Football;Silver
Kazuhito Tanaka;M;27;166;;Japan;Gymnastics;Gymnastics Men's Team All-Around;Silver
Yusuke Tanaka;M;22;166;127,868112;Japan;Gymnastics;Gymnastics Men's Team All-Around;Silver
Akzhurek Dostykovich Tanatarov;M;25;170;145,5050929;Kazakhstan;Wrestling;Wrestling Men's Welterweight, Freestyle;Bronze
Melissa Palma Julie Tancredi;F;30;177;160,9374513;Canada;Football;Football Women's Football;Bronze
Tandara Caixeta;F;23;184;191,8021679;Brazil;Volleyball;Volleyball Women's Volleyball;Gold
Tang Yi;F;19;178;154,3235834;China;Swimming;Swimming Women's 100 metres Freestyle;Bronze
Luigi Tarantino;M;39;188;209,4391489;Italy;Fencing;Fencing Men's Sabre, Team;Bronze
Kateryna Mykolavna Tarasenko;F;24;184;163,1420739;Ukraine;Rowing;Rowing Women's Quadruple Sculls;Gold
"Matthew Stephen C. ""Matt"" Targett";M;26;198;198,4160358;Australia;Swimming;Swimming Men's 4 x 100 metres Medley Relay;Bronze
Jeneba Sylvia Tarmoh;F;22;165;130,0727346;United States;Athletics;Athletics Women's 4 x 100 metres Relay;Gold
Roser Tarrag Aymerich;F;19;171;136,6866024;Spain;Water Polo;Water Polo Women's Water Polo;Silver
Davis Edward Tarwater;M;28;185;187,3929227;United States;Swimming;Swimming Men's 4 x 200 metres Freestyle Relay;Gold
Sideris Tasiadis;M;22;179;174,165187;Germany;Canoeing;Canoeing Men's Canadian Singles, Slalom;Silver
Nur Tatar;F;19;173;147,7097155;Turkey;Taekwondo;Taekwondo Women's Welterweight;Silver
Ryo Tateishi;M;23;182;154,3235834;Japan;Swimming;Swimming Men's 200 metres Breaststroke;Bronze
Diana Lurena Taurasi;F;30;183;154,3235834;United States;Basketball;Basketball Women's Basketball;Gold
Angelo F. Taylor, Jr.;M;33;188;185,1883001;United States;Athletics;Athletics Men's 4 x 400 metres Relay;Silver
Christian Taylor;M;22;188;178,5744322;United States;Athletics;Athletics Men's Triple Jump;Gold
"Kathleen ""Katie"" Taylor";F;26;165;132,2773572;Ireland;Boxing;Boxing Women's Lightweight;Gold
Peter Taylor;M;28;189;154,3235834;New Zealand;Rowing;Rowing Men's Lightweight Double Sculls;Bronze
Artur Borisovich Taymazov;M;33;190;264,5547144;Uzbekistan;Wrestling;Wrestling Men's Super-Heavyweight, Freestyle;Gold
Servet Tazegl;M;23;180;149,9143382;Turkey;Taekwondo;Taekwondo Men's Featherweight;Gold
Audrey Tcheumo;F;22;177;171,9605644;France;Judo;Judo Women's Half-Heavyweight;Bronze
Stefano Tempesti;M;33;205;220,462262;Italy;Water Polo;Water Polo Men's Water Polo;Silver
Aya Terakawa;F;27;173;132,2773572;Japan;Swimming;Swimming Women's 100 metres Backstroke;Bronze
Aya Terakawa;F;27;173;132,2773572;Japan;Swimming;Swimming Women's 4 x 100 metres Medley Relay;Bronze
Luca Tesconi;M;30;177;160,9374513;Italy;Shooting;Shooting Men's Air Pistol, 10 metres;Silver
Sergey Yuryevich Tetyukhin;M;36;197;196,2114132;Russia;Volleyball;Volleyball Men's Volleyball;Gold
Thasa Daher de Menezes;F;25;196;165,3466965;Brazil;Volleyball;Volleyball Women's Volleyball;Gold
Annekatrin Thiele;F;27;173;149,9143382;Germany;Rowing;Rowing Women's Quadruple Sculls;Silver
Kerstin Thiele;F;25;168;154,3235834;Germany;Judo;Judo Women's Middleweight;Silver
"Nicholas Brewer ""Nick"" Thoman";M;26;185;185,1883001;United States;Swimming;Swimming Men's 100 metres Backstroke;Silver
"Nicholas Brewer ""Nick"" Thoman";M;26;185;185,1883001;United States;Swimming;Swimming Men's 4 x 100 metres Medley Relay;Gold
Geraint Howell Thomas;M;26;183;154,3235834;Great Britain;Cycling;Cycling Men's Team Pursuit, 4,000 metres;Gold
Kristian James Thomas;M;23;180;174,165187;Great Britain;Gymnastics;Gymnastics Men's Team All-Around;Bronze
Sarah Thomas;F;31;163;130,0727346;Great Britain;Hockey;Hockey Women's Hockey;Bronze
Courtney Lynn Thompson;F;27;170;145,5050929;United States;Volleyball;Volleyball Women's Volleyball;Silver
James Thompson;M;25;182;154,3235834;South Africa;Rowing;Rowing Men's Lightweight Coxless Fours;Gold
Richard Thompson;M;27;188;176,3698096;Trinidad and Tobago;Athletics;Athletics Men's 4 x 100 metres Relay;Silver
Lesley Allison Thompson-Willie;F;52;160;110,231131;Canada;Rowing;Rowing Women's Coxed Eights;Silver
Peter Thomsen;M;51;183;158,7328286;Germany;Equestrianism;Equestrianism Mixed Three-Day Event, Team;Gold
Mary Elizabeth Thomson-King;F;51;178;138,8912251;Great Britain;Equestrianism;Equestrianism Mixed Three-Day Event, Team;Silver
Tian Qing;F;25;168;138,8912251;China-1;Badminton;Badminton Women's Doubles;Gold
Anzhelika Igorevna Timanina;F;23;176;127,868112;Russia;Synchronized Swimming;Synchronized Swimming Women's Team;Gold
Brittany Amanda Timko (-Baxter);F;26;173;134,4819798;Canada;Football;Football Women's Football;Bronze
Michael DeLorean Tinsley;M;28;186;163,1420739;United States;Athletics;Athletics Men's 400 metres Hurdles;Silver
Mark James Todd;M;56;190;171,9605644;New Zealand;Equestrianism;Equestrianism Mixed Three-Day Event, Team;Bronze
Yasnier Toledo Lpez;M;22;175;132,2773572;Cuba;Boxing;Boxing Men's Lightweight;Bronze
Andreas Tlzer;M;32;192;288,8055632;Germany;Judo;Judo Men's Heavyweight;Bronze
Logan Maile Lei Tom;F;31;186;169,7559417;United States;Volleyball;Volleyball Women's Volleyball;Silver
Tong Wen;F;29;180;286,6009406;China;Judo;Judo Women's Heavyweight;Bronze
"Miroslava ""Mirka"" Topinkov Knapkov";F;31;181;158,7328286;Czech Republic;Rowing;Rowing Women's Single Sculls;Gold
Nadezhda Viktorovna Torlopova;F;33;175;165,3466965;Russia;Boxing;Boxing Women's Middleweight;Silver
Sofia Toro Prieto-Puga;F;21;159;149,9143382;Spain;Sailing;Sailing Women's Three Person Keelboat;Gold
Oleksiy Pavlovych Torokhtiy;M;26;181;231,4853751;Ukraine;Weightlifting;Weightlifting Men's Heavyweight;Gold
Dvid Tth;M;27;181;178,5744322;Hungary;Canoeing;Canoeing Men's Kayak Fours, 1,000 metres;Silver
Rustam Stanislavovich Totrov;M;28;172;211,6437715;Russia;Wrestling;Wrestling Men's Heavyweight, Greco-Roman;Silver
Dragan Travica;M;25;200;207,2345263;Italy;Volleyball;Volleyball Men's Volleyball;Bronze
Luk Trefil;M;23;187;198,4160358;Czech Republic;Canoeing;Canoeing Men's Kayak Fours, 1,000 metres;Bronze
