Name;Sex;Age;Height;Weight;Team;Sport;Event;Medal
Jack Bobridge;M;23;180;143,3004703;Australia;Cycling;Cycling Men's Team Pursuit, 4,000 metres;Silver
Mathias Boe;M;32;185;165,3466965;Denmark;Badminton;Badminton Men's Doubles;Silver
Sylwia Katarzyna Bogacka;F;30;162;125,6634893;Poland;Shooting;Shooting Women's Air Rifle, 10 metres;Silver
Aleksandr Viktorovich Bogdanovich;M;30;191;213,8483941;Belarus;Canoeing;Canoeing Men's Canadian Doubles, 1,000 metres;Silver
Andrey Viktorovich Bogdanovich;M;24;193;191,8021679;Belarus;Canoeing;Canoeing Men's Canadian Doubles, 1,000 metres;Silver
Timo Boll;M;31;181;163,1420739;Germany;Table Tennis;Table Tennis Men's Team;Bronze
Usain St. Leo Bolt;M;25;196;209,4391489;Jamaica;Athletics;Athletics Men's 100 metres;Gold
Usain St. Leo Bolt;M;25;196;209,4391489;Jamaica;Athletics;Athletics Men's 200 metres;Gold
Usain St. Leo Bolt;M;25;196;209,4391489;Jamaica;Athletics;Athletics Men's 4 x 100 metres Relay;Gold
Hamish Byron Bond;M;26;189;196,2114132;New Zealand;Rowing;Rowing Men's Coxless Pairs;Gold
Dante Boninfante;M;35;188;187,3929227;Italy;Volleyball;Volleyball Men's Volleyball;Bronze
Bartomiej Wojciech Bonk;M;27;181;231,4853751;Poland;Weightlifting;Weightlifting Men's Heavyweight;Bronze
Charlotte Bonnet;F;17;175;141,0958477;France;Swimming;Swimming Women's 4 x 200 metres Freestyle Relay;Bronze
Rachel Kristine Bootsma;F;18;173;145,5050929;United States;Swimming;Swimming Women's 4 x 100 metres Medley Relay;Gold
Edith Bosch;F;32;183;154,3235834;Netherlands;Judo;Judo Women's Middleweight;Bronze
Miho Bokovi;M;29;196;211,6437715;Croatia;Water Polo;Water Polo Men's Water Polo;Gold
David Alasdair Boudia;M;23;175;160,9374513;United States;Diving;Diving Men's Platform;Gold
David Alasdair Boudia;M;23;175;160,9374513;United States;Diving;Diving Men's Synchronized Platform;Bronze
Carline Bouw;F;27;184;158,7328286;Netherlands;Rowing;Rowing Women's Coxed Eights;Bronze
Marit Bouwmeester;F;24;177;149,9143382;Netherlands;Sailing;Sailing Women's One Person Dinghy;Silver
Shannon Leigh Boxx;F;35;172;147,7097155;United States;Football;Football Women's Football;Gold
Scott Brash;M;26;171;141,0958477;Great Britain;Equestrianism;Equestrianism Mixed Jumping, Team;Gold
Karoline Charlotte Dyhre Breivang;F;32;172;;Norway;Handball;Handball Women's Handball;Gold
Sebastian Brendel;M;24;192;202,825281;Germany;Canoeing;Canoeing Men's Canadian Singles, 1,000 metres;Gold
Julie Bresset;F;23;167;116,8449989;France;Cycling;Cycling Women's Mountainbike, Cross-Country;Gold
Julius Brink;M;30;186;187,3929227;Germany-1;Beach Volleyball;Beach Volleyball Men's Beach Volleyball;Gold
Matthew Brittain;M;25;186;154,3235834;South Africa;Rowing;Rowing Men's Lightweight Coxless Fours;Gold
Brittany Broben;F;16;163;114,6403762;Australia;Diving;Diving Women's Platform;Silver
Kristina Brring-Sprehe;F;25;168;119,0496215;Germany;Equestrianism;Equestrianism Mixed Dressage, Team;Silver
"Christopher Deon ""Chris"" Brown";M;33;178;165,3466965;Bahamas;Athletics;Athletics Men's 4 x 400 metres Relay;Gold
Jeremiah Brown;M;26;198;233,6899977;Canada;Rowing;Rowing Men's Coxed Eights;Silver
Victoria Brown;F;26;183;167,5513191;Australia;Water Polo;Water Polo Women's Water Polo;Bronze
Alistair Edward Brownlee;M;24;184;154,3235834;Great Britain;Triathlon;Triathlon Men's Olympic Distance;Gold
"Jonathan Callum ""Jonny"" Brownlee";M;22;181;154,3235834;Great Britain;Triathlon;Triathlon Men's Olympic Distance;Bronze
"Bruno ""Bruninho"" Mossa de Rezende";M;26;190;167,5513191;Brazil;Volleyball;Volleyball Men's Volleyball;Silver
"Robert Charles ""Bob"" Bryan";M;34;193;202,825281;United States-1;Tennis;Tennis Men's Doubles;Gold
"Michael Carl ""Mike"" Bryan";M;34;191;191,8021679;United States-1;Tennis;Tennis Mixed Doubles;Bronze
"Michael Carl ""Mike"" Bryan";M;34;191;191,8021679;United States-1;Tennis;Tennis Men's Doubles;Gold
Karina Louise Bryant;F;33;185;240,3038656;Great Britain;Judo;Judo Women's Heavyweight;Bronze
Kelci Marie Bryant;F;23;160;134,4819798;United States;Diving;Diving Women's Synchronized Springboard;Silver
Kobe Bean Bryant;M;33;198;220,462262;United States;Basketball;Basketball Men's Basketball;Gold
Yelyzaveta Viktorivna Bryzhina;F;22;173;138,8912251;Ukraine;Athletics;Athletics Women's 4 x 100 metres Relay;Bronze
Ashley Brzozowicz;F;29;176;165,3466965;Canada;Rowing;Rowing Women's Coxed Eights;Silver
Rachel Marie Buehler (-Van Hollebeke);F;26;165;143,3004703;United States;Football;Football Women's Football;Gold
Anela Bulatovi;F;25;175;147,7097155;Montenegro;Handball;Handball Women's Handball;Silver
Katarina Bulatovi;F;27;186;156,528206;Montenegro;Handball;Handball Women's Handball;Silver
Diana Laura Bulimar;F;16;140;;Romania;Gymnastics;Gymnastics Women's Team All-Around;Bronze
Ivan Buljubai;M;24;198;238,099243;Croatia;Water Polo;Water Polo Men's Water Polo;Gold
Gamze Bulut;F;19;166;105,8218858;Turkey;Athletics;Athletics Women's 1,500 metres;Silver
Denis Bunti;M;29;;;Croatia;Handball;Handball Men's Handball;Bronze
Nathan Burgers;M;33;185;180,7790548;Australia;Hockey;Hockey Men's Hockey;Bronze
Damir Buri;M;31;205;253,5316013;Croatia;Water Polo;Water Polo Men's Water Polo;Gold
Steven James Burke;M;24;183;171,9605644;Great Britain;Cycling;Cycling Men's Team Pursuit, 4,000 metres;Gold
Peter Burling;M;21;186;180,7790548;New Zealand;Sailing;Sailing Men's Skiff;Silver
Marc Burns;M;29;183;200,6206584;Trinidad and Tobago;Athletics;Athletics Men's 4 x 100 metres Relay;Silver
Jordan Ernest Burroughs;M;24;171;174,165187;United States;Wrestling;Wrestling Men's Middleweight, Freestyle;Gold
Andro Bulje;M;26;200;253,5316013;Croatia;Water Polo;Water Polo Men's Water Polo;Gold
Aleksandr Anatolyevich Butko;M;26;198;213,8483941;Russia;Volleyball;Volleyball Men's Volleyball;Gold
Matthew Butturini;M;24;181;178,5744322;Australia;Hockey;Hockey Men's Hockey;Bronze
James Andrew Byrnes;M;29;200;205,0299037;Canada;Rowing;Rowing Men's Coxed Eights;Silver
Alba Mara Cabello Rodilla;F;26;163;103,6172631;Spain;Synchronized Swimming;Synchronized Swimming Women's Team;Bronze
Erin Jane Cafaro (-McKenzie);F;29;175;160,9374513;United States;Rowing;Rowing Women's Coxed Eights;Gold
Cai Yun;M;32;181;149,9143382;China-1;Badminton;Badminton Men's Doubles;Gold
Asl akr (-Alptekin);F;26;168;110,231131;Turkey;Athletics;Athletics Women's 1,500 metres;Gold
David Cal Figueroa;M;29;183;189,5975453;Spain;Canoeing;Canoeing Men's Canadian Singles, 1,000 metres;Silver
Lucas Calabrese;M;25;168;132,2773572;Argentina;Sailing;Sailing Men's Two Person Dinghy;Bronze
Jos Manuel Caldern Borrallo;M;30;191;198,4160358;Spain;Basketball;Basketball Men's Basketball;Silver
Emmanuel Earl Callender;M;28;189;189,5975453;Trinidad and Tobago;Athletics;Athletics Men's 4 x 100 metres Relay;Silver
Schillonie Calvert;F;23;166;125,6634893;Jamaica;Athletics;Athletics Women's 4 x 100 metres Relay;Silver
"Elizabeth Folake ""Liz"" Cambage";F;20;203;216,0530168;Australia;Basketball;Basketball Women's Basketball;Bronze
Ivn Cambar Rodrguez;M;28;163;169,7559417;Cuba;Weightlifting;Weightlifting Men's Middleweight;Bronze
Roberto Cammarelle;M;31;190;223,7691959;Italy;Boxing;Boxing Men's Super-Heavyweight;Silver
Alan Campbell;M;29;191;211,6437715;Great Britain;Rowing;Rowing Men's Single Sculls;Bronze
Cate Natalie Campbell;F;20;186;147,7097155;Australia;Swimming;Swimming Women's 4 x 100 metres Freestyle Relay;Gold
Luke Campbell;M;24;175;;Great Britain;Boxing;Boxing Men's Bantamweight;Gold
Veronica Angella Campbell-Brown;F;30;168;127,868112;Jamaica;Athletics;Athletics Women's 100 metres;Bronze
Veronica Angella Campbell-Brown;F;30;168;127,868112;Jamaica;Athletics;Athletics Women's 4 x 100 metres Relay;Silver
Niccol Campriani;M;24;177;176,3698096;Italy;Shooting;Shooting Men's Air Rifle, 10 metres;Silver
Niccol Campriani;M;24;177;176,3698096;Italy;Shooting;Shooting Men's Small-Bore Rifle, Three Positions, 50 metres;Gold
Cao Yuan;M;17;160;92,59415004;China;Diving;Diving Men's Synchronized Platform;Gold
Cao Zhongrong;M;30;180;160,9374513;China;Modern Pentathlon;Modern Pentathlon Men's Individual;Silver
Corina Oana Cprioriu;F;26;161;125,6634893;Romania;Judo;Judo Women's Lightweight;Silver
Ona Carbonell Ballestero;F;22;174;119,0496215;Spain;Synchronized Swimming;Synchronized Swimming Women's Duet;Silver
Ona Carbonell Ballestero;F;22;174;119,0496215;Spain;Synchronized Swimming;Synchronized Swimming Women's Team;Bronze
Gillian Carleton;F;22;179;149,9143382;Canada;Cycling;Cycling Women's Team Pursuit;Bronze
