N4m3;S3x;4g3;H31ght;W31ght;T34m;Sp0rt;3v3nt;M3d4l
Adriana Brando Behar;F;31;180;141,0958477;Brazil-1;Beach Volleyball;Beach Volleyball Women's Beach Volleyball;Silver
Cristian Bejarano Bentez;M;19;170;132,2773572;Mexico;Boxing;Boxing Men's Lightweight;Bronze
Fredrik Raaen Bekken;M;25;183;185,1883001;Norway;Rowing;Rowing Men's Double Sculls;Silver
Kristin Bekkevold;F;23;173;141,0958477;Norway;Football;Football Women's Football;Gold
Daniel N'Dene Bekono;M;22;184;;Cameroon;Football;Football Men's Football;Gold
Tatyana Valeryevna Belan;F;17;165;94,79877266;Belarus;Rhythmic Gymnastics;Rhythmic Gymnastics Women's Group;Silver
Anastasiya Aleksandrovna Belikova;F;21;177;121,2542441;Russia;Volleyball;Volleyball Women's Volleyball;Silver
Regla Maritza Bell McKenzie;F;30;180;160,9374513;Cuba;Volleyball;Volleyball Women's Volleyball;Gold
Antonella Bellutti;F;31;180;160,9374513;Italy;Cycling;Cycling Women's Points Race;Gold
Irina Olegovna Belova;F;19;175;114,6403762;Russia;Rhythmic Gymnastics;Rhythmic Gymnastics Women's Group;Gold
Daima Mayelis Beltrn Guisado;F;28;182;229,2807525;Cuba;Judo;Judo Women's Heavyweight;Silver
Larbi Ben Boudaoud;M;26;170;145,5050929;France;Judo;Judo Men's Half-Lightweight;Silver
Tibor Benedek;M;28;190;211,6437715;Hungary;Water Polo;Water Polo Men's Water Polo;Gold
Lindsay Dianne Benko (-Mintenko);F;23;185;163,1420739;United States;Swimming;Swimming Women's 4 x 200 metres Freestyle Relay;Gold
Brooke Marie Bennett (-Frioud);F;20;165;125,6634893;United States;Swimming;Swimming Women's 400 metres Freestyle;Gold
Brooke Marie Bennett (-Frioud);F;20;165;125,6634893;United States;Swimming;Swimming Women's 800 metres Freestyle;Gold
Adem Bereket;M;27;175;167,5513191;Turkey;Wrestling;Wrestling Men's Middleweight, Freestyle;Bronze
Oleksandr Mykolaiovych Beresh;M;22;171;141,0958477;Ukraine;Gymnastics;Gymnastics Men's Individual All-Around;Bronze
Oleksandr Mykolaiovych Beresh;M;22;171;141,0958477;Ukraine;Gymnastics;Gymnastics Men's Team All-Around;Silver
Laura Kay Berg;F;25;168;134,4819798;United States;Softball;Softball Women's Softball;Gold
Kajsa Margareta Bergqvist (-Herngren-);F;23;175;130,0727346;Sweden;Athletics;Athletics Women's High Jump;Bronze
Jean-Christophe Bette;M;22;186;158,7328286;France;Rowing;Rowing Men's Lightweight Coxless Fours;Gold
Diana Bianchedi;F;30;158;101,4126405;Italy;Fencing;Fencing Women's Foil, Team;Gold
Dariusz Edward Biakowski;M;30;185;200,6206584;Poland;Canoeing;Canoeing Men's Kayak Fours, 1,000 metres;Bronze
Nezha Bidouane;F;30;174;143,3004703;Morocco;Athletics;Athletics Women's 400 metres Hurdles;Bronze
Laryssa Biesenthal;F;29;173;145,5050929;Canada;Rowing;Rowing Women's Coxed Eights;Bronze
Hamide Bkn (-Tosun);F;22;167;125,6634893;Turkey;Taekwondo;Taekwondo Women's Featherweight;Bronze
Jim Bilba;M;32;198;218,2576394;France;Basketball;Basketball Men's Basketball;Silver
Pter Biros;M;24;196;224,8715072;Hungary;Water Polo;Water Polo Men's Water Polo;Gold
Ralf Bidorf;M;29;193;169,7559417;Germany;Fencing;Fencing Men's Foil, Individual;Silver
Matteo Bisiani;M;24;184;187,3929227;Italy;Archery;Archery Men's Team;Silver
"Kimberly A. ""Kim"" Black";F;21;168;132,2773572;United States;Swimming;Swimming Women's 4 x 200 metres Freestyle Relay;Gold
Michael James Blackburn;M;30;178;171,9605644;Australia;Sailing;Sailing Mixed One Person Dinghy;Bronze
Michael Blackwood;M;21;190;174,165187;Jamaica;Athletics;Athletics Men's 4 x 400 metres Relay;Silver
Henrik Blakskjr;M;29;194;198,4160358;Denmark;Sailing;Sailing Mixed Three Person Keelboat;Gold
Leszek Robert Blanik;M;23;163;141,0958477;Poland;Gymnastics;Gymnastics Men's Horse Vault;Bronze
Dain J. Blanton;M;28;190;202,825281;United States-1;Beach Volleyball;Beach Volleyball Men's Beach Volleyball;Gold
Claudia Blasberg;F;25;182;125,6634893;Germany;Rowing;Rowing Women's Lightweight Double Sculls;Silver
Barbara Blatter;F;29;168;119,0496215;Switzerland;Cycling;Cycling Women's Mountainbike, Cross-Country;Silver
Susan M. Blinks;F;42;167;149,9143382;United States;Equestrianism;Equestrianism Mixed Dressage, Team;Bronze
Loredana Boboc;F;16;139;70,54792384;Romania;Gymnastics;Gymnastics Women's Team All-Around;Gold
Galabin Pepov Boevski;M;25;175;152,1189608;Bulgaria;Weightlifting;Weightlifting Men's Lightweight;Gold
Wilson Boit Kipketer;M;26;167;114,6403762;Kenya;Athletics;Athletics Men's 3,000 metres Steeplechase;Silver
Ato Jabari Boldon;M;26;176;165,3466965;Trinidad and Tobago;Athletics;Athletics Men's 100 metres;Silver
Ato Jabari Boldon;M;26;176;165,3466965;Trinidad and Tobago;Athletics;Athletics Men's 200 metres;Bronze
"Alice Ruth ""Ruthie"" Bolton-Holifield";F;33;173;149,9143382;United States;Basketball;Basketball Women's Basketball;Gold
Yann Bonato;M;28;201;209,4391489;France;Basketball;Basketball Men's Basketball;Silver
