N4m3;S3x;4g3;H31ght;W31ght;T34m;Sp0rt;3v3nt;M3d4l
Sim Gwon-Ho;M;27;160;119,0496215;South Korea;Wrestling;Wrestling Men's Bantamweight, Greco-Roman;Gold
Judit Simics-Zsemberi;F;32;177;152,1189608;Hungary;Handball;Handball Women's Handball;Silver
Dorel Simion;M;23;172;147,7097155;Romania;Boxing;Boxing Men's Welterweight;Bronze
Marian Simion;M;24;181;165,3466965;Romania;Boxing;Boxing Men's Light-Middleweight;Silver
Coralie Denise Simmons;F;23;172;138,8912251;United States;Water Polo;Water Polo Women's Water Polo;Silver
Diederik Rudolf Simon;M;30;190;198,4160358;Netherlands;Rowing;Rowing Men's Quadruple Sculls;Silver
Lidia Elena imon (Slvueanu-);F;27;160;94,79877266;Romania;Athletics;Athletics Women's Marathon;Silver
Ann Simons;F;20;161;105,8218858;Belgium;Judo;Judo Women's Extra-Lightweight;Bronze
Alexandra Simons de Ridder;F;36;174;143,3004703;Germany;Equestrianism;Equestrianism Mixed Dressage, Team;Gold
Sin Jun-Sik;M;20;173;147,7097155;South Korea;Taekwondo;Taekwondo Men's Featherweight;Silver
Clarinda Maria Sinnige;F;27;179;165,3466965;Netherlands;Hockey;Hockey Women's Hockey;Bronze
Ramnas ikauskas;M;22;198;209,4391489;Lithuania;Basketball;Basketball Men's Basketball;Bronze
Beta Siti;F;26;174;147,7097155;Hungary;Handball;Handball Women's Handball;Silver
Lars Tomas Sivertsson;M;35;195;222,6668846;Sweden;Handball;Handball Men's Handball;Silver
Maria Johanna Sjberg;F;22;178;145,5050929;Sweden;Swimming;Swimming Women's 4 x 100 metres Freestyle Relay;Bronze
Nika Skelin;M;22;200;227,0761299;Croatia;Rowing;Rowing Men's Coxed Eights;Bronze
Sinia Skelin;M;26;196;202,825281;Croatia;Rowing;Rowing Men's Coxed Eights;Bronze
"Angela Robyn ""Angie"" Skirving-Lambert";F;19;181;149,9143382;Australia;Hockey;Hockey Women's Hockey;Gold
Kamila Skolimowska;F;17;180;246,9177334;Poland;Athletics;Athletics Women's Hammer Throw;Gold
Winarni Binti Slamet;F;24;155;112,4357536;Indonesia;Weightlifting;Weightlifting Women's Featherweight;Bronze
Kate Elizabeth Slatter (-Allen);F;28;180;156,528206;Australia;Rowing;Rowing Women's Coxless Pairs;Silver
Brandon Douglas Slay;M;24;173;167,5513191;United States;Wrestling;Wrestling Men's Middleweight, Freestyle;Gold
Roman Andreyevich Sludnov;M;20;188;163,1420739;Russia;Swimming;Swimming Men's 100 metres Breaststroke;Bronze
Olga Anatolyevna Slyusareva;F;31;168;132,2773572;Russia;Cycling;Cycling Women's Points Race;Bronze
Hanneke Smabers;F;26;164;114,6403762;Netherlands;Hockey;Hockey Women's Hockey;Bronze
Minke Smabers (-Smeets);F;21;158;108,0265084;Netherlands;Hockey;Hockey Women's Hockey;Bronze
Aydyn Smagulov;M;23;161;132,2773572;Kyrgyzstan;Judo;Judo Men's Extra-Lightweight;Bronze
"Katherine May ""Katie"" Smith";F;26;180;174,165187;United States;Basketball;Basketball Women's Basketball;Gold
Michele Mary Smith;F;33;177;154,3235834;United States;Softball;Softball Women's Softball;Gold
"Steven Delano ""Steve"" Smith";M;31;200;220,462262;United States;Basketball;Basketball Men's Basketball;Gold
Tomislav Smoljanovi;M;23;190;200,6206584;Croatia;Rowing;Rowing Men's Coxed Eights;Bronze
Yelena Yuryevna Smurova;F;26;166;132,2773572;Russia;Water Polo;Water Polo Women's Water Polo;Bronze
Marta de Souza Sobral;F;36;190;163,1420739;Brazil;Basketball;Basketball Women's Basketball;Bronze
"Kathryn Michele ""Kate"" Sobrero-Markgraf";F;24;170;134,4819798;United States;Football;Football Women's Football;Silver
Lyubov Vladimirovna Sokolova-Shashkova (-Kl);F;22;190;163,1420739;Russia;Volleyball;Volleyball Women's Volleyball;Silver
Beata Sokoowska-Kulesza;F;26;160;130,0727346;Poland;Canoeing;Canoeing Women's Kayak Doubles, 500 metres;Bronze
"Elsa Katrine ""Trine"" Solberg-Hattestad";F;34;173;167,5513191;Norway;Athletics;Athletics Women's Javelin Throw;Gold
Son Min-Han;M;25;179;187,3929227;South Korea;Baseball;Baseball Men's Baseball;Bronze
Song Jin-U;M;34;180;165,3466965;South Korea;Baseball;Baseball Men's Baseball;Bronze
Song Seong-Tae;M;28;177;160,9374513;South Korea;Hockey;Hockey Men's Hockey;Silver
Darius Songaila;M;22;204;242,5084882;Lithuania;Basketball;Basketball Men's Basketball;Bronze
Moustapha Sonko;M;28;192;202,825281;France;Basketball;Basketball Men's Basketball;Silver
Hanna Valerivna Sorokina;F;24;168;123,4588667;Ukraine;Diving;Diving Women's Synchronized Springboard;Bronze
Aleksandar otar;M;36;196;224,8715072;Serbia and Montenegro;Water Polo;Water Polo Men's Water Polo;Bronze
Yuliya Vladimirovna Sotnikova;F;29;170;132,2773572;Russia;Athletics;Athletics Women's 4 x 400 metres Relay;Bronze
Javier Sotomayor Sanabria;M;32;193;176,3698096;Cuba;Athletics;Athletics Men's High Jump;Silver
Cludio Roberto de Sousa;M;26;168;158,7328286;Brazil;Athletics;Athletics Men's 4 x 100 metres Relay;Silver
Yelena Igorevna Soya;F;18;174;123,4588667;Russia;Synchronized Swimming;Synchronized Swimming Women's Team;Gold
Else-Marthe Srlie Lybekk;F;22;177;167,5513191;Norway;Handball;Handball Women's Handball;Bronze
Torsten Spanneberg;M;25;202;194,0067906;Germany;Swimming;Swimming Men's 4 x 100 metres Medley Relay;Bronze
Luka pik;M;21;196;209,4391489;Slovenia;Rowing;Rowing Men's Double Sculls;Gold
Rachael Pamela Sporn;F;32;187;149,9143382;Australia;Basketball;Basketball Women's Basketball;Silver
Daniel Sproule;M;26;180;167,5513191;Australia;Hockey;Hockey Men's Hockey;Bronze
ric Claude Franois Srecki;M;36;193;194,0067906;France;Fencing;Fencing Men's epee, Team;Silver
Jay Jason Stacy;M;32;184;198,4160358;Australia;Hockey;Hockey Men's Hockey;Bronze
Dawn Michelle Staley;F;30;165;127,868112;United States;Basketball;Basketball Women's Basketball;Gold
Micha Tomasz Staniszewski;M;26;178;171,9605644;Poland-1;Canoeing;Canoeing Men's Canadian Doubles, Slalom;Silver
Ian David Stark;M;46;177;165,3466965;Great Britain;Equestrianism;Equestrianism Mixed Three-Day Event, Team;Silver
"Katherine ""Kate"" Starre";F;28;171;132,2773572;Australia;Hockey;Hockey Women's Hockey;Gold
Bryan Steel;M;31;174;154,3235834;Great Britain;Cycling;Cycling Men's Team Pursuit, 4,000 metres;Bronze
Britta Steffen;F;16;180;132,2773572;Germany;Swimming;Swimming Women's 4 x 200 metres Freestyle Relay;Bronze
Kerstin Stegemann;F;22;170;149,9143382;Germany;Football;Football Women's Football;Bronze
Hans-Peter Steinacher;M;32;180;160,9374513;Austria;Sailing;Sailing Mixed Multihull;Gold
Barnabs Steinmetz;M;24;196;216,0530168;Hungary;Water Polo;Water Polo Men's Water Polo;Gold
Harald Stenvaag;M;47;182;198,4160358;Norway;Shooting;Shooting Men's Small-Bore Rifle, Three Positions, 50 metres;Bronze
Ayeln Lara Stepnik Puche;F;24;169;136,6866024;Argentina;Hockey;Hockey Women's Hockey;Silver
"Geoffrey Peter ""Geoff"" Stewart";M;26;200;198,4160358;Australia;Rowing;Rowing Men's Coxless Fours;Bronze
James Alexander Stewart;M;26;200;202,825281;Australia;Rowing;Rowing Men's Coxless Fours;Bronze
Staciana Stitts (-Winfield);F;19;178;145,5050929;United States;Swimming;Swimming Women's 4 x 100 metres Medley Relay;Gold
Espen Stokkeland;M;32;182;202,825281;Norway;Sailing;Sailing Mixed Three Person Keelboat;Bronze
Saulius tombergas;M;26;204;220,462262;Lithuania;Basketball;Basketball Men's Basketball;Bronze
Hestrie Storbeck-Cloete (-Els);F;22;185;149,9143382;South Africa;Athletics;Athletics Women's High Jump;Silver
Botond Storcz;M;25;183;191,8021679;Hungary;Canoeing;Canoeing Men's Kayak Doubles, 500 metres;Gold
Botond Storcz;M;25;183;191,8021679;Hungary;Canoeing;Canoeing Men's Kayak Fours, 1,000 metres;Gold
Belinda Josephine Marion Stowell;F;29;172;149,9143382;Australia;Sailing;Sailing Women's Two Person Dinghy;Gold
Julia Gray Stowers;F;18;185;145,5050929;United States;Swimming;Swimming Women's 4 x 200 metres Freestyle Relay;Gold
Dmitry Ivanovich Stratan;M;25;196;224,8715072;Russia;Water Polo;Water Polo Men's Water Polo;Silver
Chandra Lavon Sturrup;F;29;163;134,4819798;Bahamas;Athletics;Athletics Women's 4 x 100 metres Relay;Gold
Yury Viktorovich Styopkin;M;28;193;220,462262;Russia;Judo;Judo Men's Half-Heavyweight;Bronze
Patrick Suffo Kengn;M;22;176;182,9836775;Cameroon;Football;Football Men's Football;Gold
Noriko Sugawara-Narazaki;F;27;157;114,6403762;Japan;Judo;Judo Women's Half-Lightweight;Silver
Pavel Alekseyevich Sukosyan;M;38;200;242,5084882;Russia;Handball;Handball Men's Handball;Gold
Sun Jin;F;20;166;132,2773572;China-2;Table Tennis;Table Tennis Women's Doubles;Silver
Viorica Susanu;F;24;186;169,7559417;Romania;Rowing;Rowing Women's Coxed Eights;Gold
Khassaraporn Suta;F;28;150;125,6634893;Thailand;Weightlifting;Weightlifting Women's Lightweight;Bronze
Malin Erika Helena Svahnstrm (-Borensj);F;20;169;132,2773572;Sweden;Swimming;Swimming Women's 4 x 100 metres Freestyle Relay;Bronze
Dmitry Valeryevich Svatkovsky;M;28;188;174,165187;Russia;Modern Pentathlon;Modern Pentathlon Men's Individual;Gold
Tomas Runar Svensson;M;32;193;205,0299037;Sweden;Handball;Handball Men's Handball;Silver
Oleksandr Mykolaiovych Svitlychniy;M;28;164;132,2773572;Ukraine;Gymnastics;Gymnastics Men's Team All-Around;Silver
Julie Swail-Ertel;F;27;173;134,4819798;United States;Water Polo;Water Polo Women's Water Polo;Silver
Sheryl Denice Swoopes;F;29;182;158,7328286;United States;Basketball;Basketball Women's Basketball;Gold
Robert Sycz;M;26;183;165,3466965;Poland;Rowing;Rowing Men's Lightweight Double Sculls;Gold
Volodymyr Petrovych Sydorenko;M;23;164;112,4357536;Ukraine;Boxing;Boxing Men's Flyweight;Bronze
Denys Olehovych Sylantiev;M;23;185;171,9605644;Ukraine;Swimming;Swimming Men's 200 metres Butterfly;Silver
Oleksandr Serhiyovych Symonenko;M;26;180;167,5513191;Ukraine;Cycling;Cycling Men's Team Pursuit, 4,000 metres;Silver
Gabriela Szabo (-Gyngyssy);F;24;158;92,59415004;Romania;Athletics;Athletics Women's 1,500 metres;Bronze
Gabriela Szabo (-Gyngyssy);F;24;158;92,59415004;Romania;Athletics;Athletics Women's 5,000 metres;Gold
Szilvia Szab;F;21;170;143,3004703;Hungary;Canoeing;Canoeing Women's Kayak Doubles, 500 metres;Silver
Szilvia Szab;F;21;170;143,3004703;Hungary;Canoeing;Canoeing Women's Kayak Fours, 500 metres;Silver
Zoltn Szcsi;M;22;198;211,6437715;Hungary;Water Polo;Water Polo Men's Water Polo;Gold
Bulcs Szkely;M;24;180;180,7790548;Hungary;Water Polo;Water Polo Men's Water Polo;Gold
Miya Tachibana;F;25;170;121,2542441;Japan;Synchronized Swimming;Synchronized Swimming Women's Duet;Silver
Miya Tachibana;F;25;170;121,2542441;Japan;Synchronized Swimming;Synchronized Swimming Women's Team;Silver
Jacinthe Taillon;F;23;167;125,6634893;Canada;Synchronized Swimming;Synchronized Swimming Women's Team;Bronze
Yasuko Tajima;F;19;164;138,8912251;Japan;Swimming;Swimming Women's 400 metres Individual Medley;Silver
Naoko Takahashi;F;28;161;114,6403762;Japan;Athletics;Athletics Women's Marathon;Gold
Juri Takayama;F;23;162;187,3929227;Japan;Softball;Softball Women's Softball;Silver
Miho Takeda;F;24;165;119,0496215;Japan;Synchronized Swimming;Synchronized Swimming Women's Duet;Silver
Miho Takeda;F;24;165;119,0496215;Japan;Synchronized Swimming;Synchronized Swimming Women's Team;Silver
Makoto Takimoto;M;25;174;178,5744322;Japan;Judo;Judo Men's Half-Middleweight;Gold
Angela Tama-Alupei;F;28;181;125,6634893;Romania;Rowing;Rowing Women's Lightweight Double Sculls;Gold
Dimosthenis Tambakos;M;23;163;130,0727346;Greece;Gymnastics;Gymnastics Men's Rings;Silver
Hiroko Tamoto;F;26;150;110,231131;Japan;Softball;Softball Women's Softball;Silver
Al-Tahar Al-Tamsamani;M;20;175;132,2773572;Morocco;Boxing;Boxing Men's Featherweight;Bronze
Ral Tamudo Montero;M;22;180;154,3235834;Spain;Football;Football Men's Football;Silver
Ryoko Tamura-Tani;F;25;146;105,8218858;Japan;Judo;Judo Women's Extra-Lightweight;Gold
Masami Tanaka;F;21;164;127,868112;Japan;Swimming;Swimming Women's 4 x 100 metres Medley Relay;Bronze
Tang Lin;F;24;178;171,9605644;China;Judo;Judo Women's Half-Heavyweight;Gold
Tao Luna;F;26;160;132,2773572;China;Shooting;Shooting Women's Air Pistol, 10 metres;Gold
Tao Luna;F;26;160;132,2773572;China;Shooting;Shooting Women's Sporting Pistol, 25 metres;Silver
Nelson Antonio Tapia Ros;M;33;175;160,9374513;Chile;Football;Football Men's Football;Bronze
Ashley Tara Tappin (-Doussan);F;25;178;145,5050929;United States;Swimming;Swimming Women's 4 x 100 metres Freestyle Relay;Gold
Ashley Tara Tappin (-Doussan);F;25;178;145,5050929;United States;Swimming;Swimming Women's 4 x 100 metres Medley Relay;Gold
Ruslana Oleksivna Taran;F;29;164;119,0496215;Ukraine;Sailing;Sailing Women's Two Person Dinghy;Bronze
Maksim Vladimirovich Tarasov;M;29;194;176,3698096;Russia;Athletics;Athletics Men's Pole Vault;Bronze
Reidun Tatham;F;22;172;134,4819798;Canada;Synchronized Swimming;Synchronized Swimming Women's Team;Bronze
Juri Tatsumi;F;21;160;114,6403762;Japan;Synchronized Swimming;Synchronized Swimming Women's Team;Silver
Jai Desmond Taurima;M;28;188;176,3698096;Australia;Athletics;Athletics Men's Long Jump;Silver
Hossein Tavakoli;M;22;180;231,4853751;Iran;Weightlifting;Weightlifting Men's Heavyweight;Gold
Angelo F. Taylor, Jr.;M;21;188;185,1883001;United States;Athletics;Athletics Men's 400 metres Hurdles;Gold
Jermain Lee Taylor;M;22;183;156,528206;United States;Boxing;Boxing Men's Light-Middleweight;Bronze
Rachael Taylor;F;24;179;163,1420739;Australia;Rowing;Rowing Women's Coxless Pairs;Silver
Artur Borisovich Taymazov;M;21;190;264,5547144;Uzbekistan;Wrestling;Wrestling Men's Super-Heavyweight, Freestyle;Silver
Margje Josepha Teeuwen (-Stenders);F;26;164;130,0727346;Netherlands;Hockey;Hockey Women's Hockey;Bronze
Arjen Gerald Teeuwissen;M;29;195;191,8021679;Netherlands;Equestrianism;Equestrianism Mixed Dressage, Team;Silver
Rodrigo lvaro Tello Valenzuela;M;20;170;149,9143382;Chile;Football;Football Men's Football;Bronze
Martin Tenk;M;28;175;198,4160358;Czech Republic;Shooting;Shooting Men's Free Pistol, 50 metres;Bronze
Carin Anuschka ter Beek;F;29;186;149,9143382;Netherlands;Rowing;Rowing Women's Coxed Eights;Silver
Paul Kibii Tergat;M;31;182;136,6866024;Kenya;Athletics;Athletics Men's 10,000 metres;Silver
Sergey Yuryevich Tetyukhin;M;24;197;196,2114132;Russia;Volleyball;Volleyball Men's Volleyball;Silver
Cristina Teuscher;F;22;185;149,9143382;United States;Swimming;Swimming Women's 200 metres Individual Medley;Bronze
Aikaterini Thanou;F;25;165;123,4588667;Greece;Athletics;Athletics Women's 100 metres;Silver
Carole Helene Antoinette Thate;F;28;168;127,868112;Netherlands;Hockey;Hockey Women's Hockey;Bronze
Stev Theloke;M;22;202;220,462262;Germany;Swimming;Swimming Men's 100 metres Backstroke;Bronze
Stev Theloke;M;22;202;220,462262;Germany;Swimming;Swimming Men's 4 x 100 metres Medley Relay;Bronze
Jana Thieme (-Ullrich);F;30;185;160,9374513;Germany;Rowing;Rowing Women's Double Sculls;Gold
Jrme Cdric Thomas;M;21;168;112,4357536;France;Boxing;Boxing Men's Flyweight;Bronze
Petria Ann Thomas (-Jones);F;25;173;141,0958477;Australia;Swimming;Swimming Women's 4 x 200 metres Freestyle Relay;Silver
Petria Ann Thomas (-Jones);F;25;173;141,0958477;Australia;Swimming;Swimming Women's 200 metres Butterfly;Bronze
Petria Ann Thomas (-Jones);F;25;173;141,0958477;Australia;Swimming;Swimming Women's 4 x 100 metres Medley Relay;Silver
"Christophe Lee ""Chris"" Thompson";M;21;196;185,1883001;United States;Swimming;Swimming Men's 1,500 metres Freestyle;Bronze
"Jennifer Elisabeth ""Jenny"" Thompson (-Cumpelik)";F;27;177;152,1189608;United States;Swimming;Swimming Women's 100 metres Freestyle;Bronze
"Jennifer Elisabeth ""Jenny"" Thompson (-Cumpelik)";F;27;177;152,1189608;United States;Swimming;Swimming Women's 4 x 100 metres Freestyle Relay;Gold
"Jennifer Elisabeth ""Jenny"" Thompson (-Cumpelik)";F;27;177;152,1189608;United States;Swimming;Swimming Women's 4 x 200 metres Freestyle Relay;Gold
"Jennifer Elisabeth ""Jenny"" Thompson (-Cumpelik)";F;27;177;152,1189608;United States;Swimming;Swimming Women's 4 x 100 metres Medley Relay;Gold
Obadele Olutosin Thompson;M;24;182;171,9605644;Barbados;Athletics;Athletics Men's 100 metres;Bronze
Lesley Allison Thompson-Willie;F;40;160;110,231131;Canada;Rowing;Rowing Women's Coxed Eights;Bronze
Kirsten Thomson;F;16;179;138,8912251;Australia;Swimming;Swimming Women's 4 x 200 metres Freestyle Relay;Silver
Pornchai Thongburan;M;26;173;156,528206;Thailand;Boxing;Boxing Men's Light-Middleweight;Bronze
Ian James Thorpe;M;17;196;229,2807525;Australia;Swimming;Swimming Men's 200 metres Freestyle;Silver
Ian James Thorpe;M;17;196;229,2807525;Australia;Swimming;Swimming Men's 400 metres Freestyle;Gold
Ian James Thorpe;M;17;196;229,2807525;Australia;Swimming;Swimming Men's 4 x 100 metres Freestyle Relay;Gold
Ian James Thorpe;M;17;196;229,2807525;Australia;Swimming;Swimming Men's 4 x 200 metres Freestyle Relay;Gold
Ian James Thorpe;M;17;196;229,2807525;Australia;Swimming;Swimming Men's 4 x 100 metres Medley Relay;Silver
Pierre Roger Valdemar Thorsson;M;34;189;176,3698096;Sweden;Handball;Handball Men's Handball;Silver
Tian Liang;M;21;172;132,2773572;China;Diving;Diving Men's Platform;Gold
Tian Liang;M;21;172;132,2773572;China;Diving;Diving Men's Synchronized Platform;Silver
Mindaugas Timinskas;M;26;200;213,8483941;Lithuania;Basketball;Basketball Men's Basketball;Bronze
Michele Margaret Timms;F;35;165;134,4819798;Australia;Basketball;Basketball Women's Basketball;Silver
Minarti Timur;F;32;163;121,2542441;Indonesia-1;Badminton;Badminton Mixed Doubles;Silver
Stuart Brian Tinney;M;35;180;156,528206;Australia;Equestrianism;Equestrianism Mixed Three-Day Event, Team;Gold
Yelizaveta Ivanovna Tishchenko;F;25;190;167,5513191;Russia;Volleyball;Volleyball Women's Volleyball;Silver
Natalie Lorraine Titcume;F;24;184;187,3929227;Australia;Softball;Softball Women's Softball;Bronze
Heidi Marie Tjugum (-Mrk-);F;27;178;149,9143382;Norway;Handball;Handball Women's Handball;Bronze
Tamerlan Ruslanovich Tmenov;M;23;185;279,9870727;Russia;Judo;Judo Men's Heavyweight;Bronze
Mark James Todd;M;44;190;171,9605644;New Zealand;Equestrianism;Equestrianism Mixed Three-Day Event, Individual;Bronze
Paolo Tofoli;M;34;188;178,5744322;Italy;Volleyball;Volleyball Men's Volleyball;Bronze
Yelena Vasilyevna Tokun;F;26;175;143,3004703;Russia;Water Polo;Water Polo Women's Water Polo;Bronze
Tesfaye Tola;M;25;167;132,2773572;Ethiopia;Athletics;Athletics Men's Marathon;Bronze
Irina Ivanovna Tolkunova;F;29;170;127,868112;Russia;Water Polo;Water Polo Women's Water Polo;Bronze
Sanda Toma (-Nicolae);F;30;175;156,528206;Romania;Canoeing;Canoeing Women's Kayak Fours, 500 metres;Bronze
James Bruce Tomkins;M;35;199;216,0530168;Australia;Rowing;Rowing Men's Coxless Pairs;Bronze
"Antonio ""Toni"" Velamazn Tejedor";M;23;182;158,7328286;Spain;Football;Football Men's Football;Silver
Dmitry Nikolayevich Torgovanov;M;28;200;231,4853751;Russia;Handball;Handball Men's Handball;Gold
Dara Grace Torres (-Hoffman, -Minas);F;33;183;149,9143382;United States;Swimming;Swimming Women's 50 metres Freestyle;Bronze
Dara Grace Torres (-Hoffman, -Minas);F;33;183;149,9143382;United States;Swimming;Swimming Women's 100 metres Freestyle;Bronze
Dara Grace Torres (-Hoffman, -Minas);F;33;183;149,9143382;United States;Swimming;Swimming Women's 4 x 100 metres Freestyle Relay;Gold
Dara Grace Torres (-Hoffman, -Minas);F;33;183;149,9143382;United States;Swimming;Swimming Women's 100 metres Butterfly;Bronze
Dara Grace Torres (-Hoffman, -Minas);F;33;183;149,9143382;United States;Swimming;Swimming Women's 4 x 100 metres Medley Relay;Gold
Regla Radameris Torres Herrera;F;25;191;171,9605644;Cuba;Volleyball;Volleyball Women's Volleyball;Gold
"Khuloud ""Loudy"" Tourky-Wiggins";F;21;147;99,2080179;Australia;Diving;Diving Women's Synchronized Platform;Bronze
Arnaud Pierre Armand Tournant;M;22;180;176,3698096;France;Cycling;Cycling Men's Team Sprint;Gold
Pascal Andr Jean Touron;M;27;176;154,3235834;France;Rowing;Rowing Men's Lightweight Double Sculls;Bronze
Daphne Touw;F;30;168;176,3698096;Netherlands;Hockey;Hockey Women's Hockey;Bronze
Damien Michel Touya;M;25;185;176,3698096;France;Fencing;Fencing Men's Sabre, Team;Silver
Julie Gail Towers (-Richardson);F;23;165;136,6866024;Australia;Hockey;Hockey Women's Hockey;Gold
Anne Tnnessen;F;26;164;141,0958477;Norway;Football;Football Women's Football;Gold
Stphane Andr Michel Traineau;M;33;192;216,0530168;France;Judo;Judo Men's Half-Heavyweight;Bronze
Terrence R. Trammell;M;21;188;185,1883001;United States;Athletics;Athletics Men's 110 metres Hurdles;Silver
Trn Hiu Ngn;F;26;157;103,6172631;Vietnam;Taekwondo;Taekwondo Women's Featherweight;Silver
"Stephen Patrick ""Steve"" Trapmore";M;25;192;198,4160358;Great Britain;Rowing;Rowing Men's Coxed Eights;Gold
Christine S.  Traurig;F;43;178;127,868112;United States;Equestrianism;Equestrianism Mixed Dressage, Team;Bronze
Petar Trbojevi;M;27;197;207,2345263;Serbia and Montenegro;Water Polo;Water Polo Men's Water Polo;Bronze
Daniel Trenton;M;23;180;189,5975453;Australia;Taekwondo;Taekwondo Men's Heavyweight;Silver
Ivn Trevejo Prez;M;29;184;180,7790548;Cuba;Fencing;Fencing Men's epee, Team;Bronze
Giovanna Trillini;F;30;164;130,0727346;Italy;Fencing;Fencing Women's Foil, Individual;Bronze
Giovanna Trillini;F;30;164;130,0727346;Italy;Fencing;Fencing Women's Foil, Team;Gold
Andrew Lawrence Trim;M;31;178;185,1883001;Australia;Canoeing;Canoeing Men's Kayak Doubles, 500 metres;Silver
Alan Tsagaev;M;23;182;231,4853751;Bulgaria;Weightlifting;Weightlifting Men's Heavyweight;Silver
Oksana Mykolavna Tsyhulova;F;26;;;Ukraine;Trampolining;Trampolining Women's Individual;Silver
Aleksandr Arkadyevich Tuchkin;M;36;203;220,462262;Russia;Handball;Handball Men's Handball;Gold
Scott Eric Tucker;M;24;188;178,5744322;United States;Swimming;Swimming Men's 4 x 100 metres Freestyle Relay;Silver
Olaf Karl Tufte;M;24;193;207,2345263;Norway;Rowing;Rowing Men's Double Sculls;Silver
Derartu Tulu;F;28;160;99,2080179;Ethiopia;Athletics;Athletics Women's 10,000 metres;Gold
Mathieu Turgeon;M;21;180;185,1883001;Canada;Trampolining;Trampolining Men's Individual;Bronze
Mark David Turnbull;M;26;185;154,3235834;Australia;Sailing;Sailing Men's Two Person Dinghy;Gold
Kjersti Tysse-Pltzer;F;28;173;121,2542441;Norway;Athletics;Athletics Women's 20 kilometres Walk;Silver
Enee Enefiok Udo-Obong;M;18;185;180,7790548;Nigeria;Athletics;Athletics Men's 4 x 400 metres Relay;Gold
Antonio Ugalde Garca;M;24;187;178,5744322;Spain;Handball;Handball Men's Handball;Bronze
Luis Ulacia lvarez;M;36;173;160,9374513;Cuba;Baseball;Baseball Men's Baseball;Silver
Jan Ullrich;M;26;183;160,9374513;Germany;Cycling;Cycling Men's Road Race, Individual;Gold
Jan Ullrich;M;26;183;160,9374513;Germany;Cycling;Cycling Men's Individual Time Trial;Silver
Stefan Ulm;M;24;188;182,9836775;Germany;Canoeing;Canoeing Men's Kayak Fours, 1,000 metres;Silver
Murad Mustafayevich Umakhanov;M;23;164;135,5842911;Russia;Wrestling;Wrestling Men's Lightweight, Freestyle;Gold
Unai Vergara Dez-Caballero;M;23;190;198,4160358;Spain;Football;Football Men's Football;Silver
Dorota Urbaniak;F;28;178;152,1189608;Canada;Rowing;Rowing Women's Coxed Eights;Bronze
"Ignacio ""Iaki"" Urdangarn Liebaert";M;32;197;218,2576394;Spain;Handball;Handball Men's Handball;Bronze
Alberto Urdiales Mrquez;M;31;179;182,9836775;Spain;Handball;Handball Men's Handball;Bronze
Mara Isabel Urrutia Ocor;F;35;170;171,9605644;Colombia;Weightlifting;Weightlifting Women's Heavyweight;Gold
Marius Daniel Urzic;M;24;163;125,6634893;Romania;Gymnastics;Gymnastics Men's Pommelled Horse;Gold
Konstantin Anatolyevich Ushakov;M;30;198;169,7559417;Russia;Volleyball;Volleyball Men's Volleyball;Silver
Veljko Uskokovi;M;29;185;220,462262;Serbia and Montenegro;Water Polo;Water Polo Men's Water Polo;Bronze
Stefan Ute;M;25;182;176,3698096;Germany;Canoeing;Canoeing Men's Canadian Doubles, 1,000 metres;Bronze
Reika Utsugi;F;37;170;149,9143382;Japan;Softball;Softball Women's Softball;Silver
Mukhran Vakht'angadze;M;27;184;185,1883001;Georgia;Wrestling;Wrestling Men's Light-Heavyweight, Greco-Roman;Bronze
Lzaro Valle Martell;M;37;;;Cuba;Baseball;Baseball Men's Baseball;Silver
Franziska van Almsick;F;22;181;145,5050929;Germany;Swimming;Swimming Women's 4 x 200 metres Freestyle Relay;Bronze
Wietse Cornelis van Alten;M;21;186;158,7328286;Netherlands;Archery;Archery Men's Individual;Bronze
"Jacoba Maria Jozina ""Coby"" van Baalen (Dorresteijn-)";F;43;178;138,8912251;Netherlands;Equestrianism;Equestrianism Mixed Dressage, Team;Silver
Fleur Nicolette Andrea van de Kieft;F;26;163;132,2773572;Netherlands;Hockey;Hockey Women's Hockey;Bronze
Dillianne van den Boogaard;F;26;178;145,5050929;Netherlands;Hockey;Hockey Women's Hockey;Bronze
Pieter Cornelis Martijn van den Hoogenband;M;22;193;176,3698096;Netherlands;Swimming;Swimming Men's 50 metres Freestyle;Bronze
Pieter Cornelis Martijn van den Hoogenband;M;22;193;176,3698096;Netherlands;Swimming;Swimming Men's 100 metres Freestyle;Gold
Pieter Cornelis Martijn van den Hoogenband;M;22;193;176,3698096;Netherlands;Swimming;Swimming Men's 200 metres Freestyle;Gold
Pieter Cornelis Martijn van den Hoogenband;M;22;193;176,3698096;Netherlands;Swimming;Swimming Men's 4 x 200 metres Freestyle Relay;Bronze
Macha Alexandra van der Vaart;F;28;164;114,6403762;Netherlands;Hockey;Hockey Women's Hockey;Bronze
Sander Petrus Henricus van der Weide;M;24;183;178,5744322;Netherlands;Hockey;Hockey Men's Hockey;Gold
"Susan Jacobien Unia ""Suzan"" van der Wielen (-Veen)";F;28;170;141,0958477;Netherlands;Hockey;Hockey Women's Hockey;Bronze
Mark Richard van der Zijden;M;26;186;174,165187;Netherlands;Swimming;Swimming Men's 4 x 200 metres Freestyle Relay;Bronze
