Names;Gender;Age;Height (cm);Weight (lbs);Team;Sport;Event;Medal
Theo Bos;M;20;190;187,3929227;Netherlands;Cycling;Cycling Men's Sprint;Silver
Edith Bosch;F;24;183;154,3235834;Netherlands;Judo;Judo Women's Middleweight;Silver
Francisco Javier Bosma Mnguez;M;34;190;189,5975453;Spain;Beach Volleyball;Beach Volleyball Men's Beach Volleyball;Silver
Silvia Bosurgi;F;25;164;130,0727346;Italy;Water Polo;Water Polo Women's Water Polo;Gold
Kinga Bta;F;26;180;152,1189608;Hungary;Canoeing;Canoeing Women's Kayak Fours, 500 metres;Silver
Mickal Stphane Bourgain;M;24;181;169,7559417;France;Cycling;Cycling Men's Team Sprint;Bronze
George Richard Lycott Bovell;M;21;196;163,1420739;Trinidad and Tobago;Swimming;Swimming Men's 200 metres Individual Medley;Bronze
Cesare Bovo;M;21;181;165,3466965;Italy;Football;Football Men's Football;Bronze
Shannon Leigh Boxx;F;27;172;147,7097155;United States;Football;Football Women's Football;Gold
Amber Bradley;F;24;178;163,1420739;Australia;Rowing;Rowing Women's Quadruple Sculls;Bronze
Jeanette Brakewell;F;30;169;132,2773572;Great Britain;Equestrianism;Equestrianism Mixed Three-Day Event, Team;Silver
Emiliano Brembilla;M;25;185;171,9605644;Italy;Swimming;Swimming Men's 4 x 200 metres Freestyle Relay;Bronze
Michael Gene Brennan;M;28;182;174,165187;Australia;Hockey;Hockey Men's Hockey;Gold
Bart Jan-Baptist Marie Brentjens;M;35;188;174,165187;Netherlands;Cycling;Cycling Men's Mountainbike, Cross-Country;Bronze
Derrick Keith Brew;M;26;185;178,5744322;United States;Athletics;Athletics Men's 400 metres;Bronze
Derrick Keith Brew;M;26;185;178,5744322;United States;Athletics;Athletics Men's 4 x 400 metres Relay;Gold
"Thomas Robert ""Tom"" Brice";M;22;195;216,0530168;Australia;Baseball;Baseball Men's Baseball;Silver
"Sandra Anne ""Sandy"" Brondello";F;35;170;136,6866024;Australia;Basketball;Basketball Women's Basketball;Silver
Travis Neil Brooks;M;24;186;174,165187;Australia;Hockey;Hockey Men's Hockey;Gold
Matthijs Christian Brouwer;M;24;185;178,5744322;Netherlands;Hockey;Hockey Men's Hockey;Silver
Ronald Leendert Brouwer;M;25;177;165,3466965;Netherlands;Hockey;Hockey Men's Hockey;Silver
Graeme Allen Brown;M;25;177;165,3466965;Australia;Cycling;Cycling Men's Team Pursuit, 4,000 metres;Gold
Graeme Allen Brown;M;25;177;165,3466965;Australia;Cycling;Cycling Men's Madison;Gold
Ivano Brugnetti;M;27;176;134,4819798;Italy;Athletics;Athletics Men's 20 kilometres Walk;Gold
Caroline Brunet;F;35;175;154,3235834;Canada;Canoeing;Canoeing Women's Kayak Singles, 500 metres;Bronze
Olga Aleksandrovna Brusnikina;F;25;169;121,2542441;Russia;Synchronized Swimming;Synchronized Swimming Women's Team;Gold
Karen Brdsgaard;F;26;178;156,528206;Denmark;Handball;Handball Women's Handball;Gold
Massimo Bulleri;M;26;188;180,7790548;Italy;Basketball;Basketball Men's Basketball;Silver
Nicols Andrs Burdisso;M;23;182;180,7790548;Argentina;Football;Football Men's Football;Gold
Simon Peter Burgess;M;36;178;154,3235834;Australia;Rowing;Rowing Men's Lightweight Coxless Fours;Silver
Michelle Burgher;F;27;170;136,6866024;Jamaica;Athletics;Athletics Women's 4 x 400 metres Relay;Bronze
Claudia Ins Burkart;F;24;165;149,9143382;Argentina;Hockey;Hockey Women's Hockey;Bronze
Daniil Sergeyevich Burkenya;M;26;198;187,3929227;Russia;Athletics;Athletics Men's Triple Jump;Bronze
Hanna Viktorivna Burmistrova;F;27;182;160,9374513;Ukraine;Handball;Handball Women's Handball;Bronze
Kevin Lobdell Burnham;M;47;185;154,3235834;United States;Sailing;Sailing Men's Two Person Dinghy;Gold
Adrian Mark Burnside;M;27;193;220,462262;Australia;Baseball;Baseball Men's Baseball;Silver
Antje Buschschulte (-Meeuw);F;25;186;165,3466965;Germany;Swimming;Swimming Women's 4 x 200 metres Freestyle Relay;Bronze
Antje Buschschulte (-Meeuw);F;25;186;165,3466965;Germany;Swimming;Swimming Women's 200 metres Backstroke;Bronze
Antje Buschschulte (-Meeuw);F;25;186;165,3466965;Germany;Swimming;Swimming Women's 4 x 100 metres Medley Relay;Bronze
Crystl Irene Bustos;F;26;173;224,8715072;United States;Softball;Softball Women's Softball;Gold
Dean William Butler;M;27;172;158,7328286;Australia;Hockey;Hockey Men's Hockey;Gold
David Cal Figueroa;M;21;183;189,5975453;Spain;Canoeing;Canoeing Men's Canadian Singles, 500 metres;Silver
