Names;Gender;Age;Height (cm);Weight (lbs);Team;Sport;Event;Medal
Jane Kara Saville (-White);F;29;164;114,6403762;Australia;Athletics;Athletics Women's 20 kilometres Walk;Bronze
Javier Pedro Saviola Fernndez;M;22;168;132,2773572;Argentina;Football;Football Men's Football;Gold
Amarilys Savn Carmenate;F;30;159;114,6403762;Cuba;Judo;Judo Women's Half-Lightweight;Bronze
Buvaysar Khamidovich Saytiyev;M;29;180;163,1420739;Russia;Wrestling;Wrestling Men's Middleweight, Freestyle;Gold
Sazhid Khalilrakhimovich Sazhidov;M;24;176;185,1883001;Russia;Wrestling;Wrestling Men's Light-Heavyweight, Freestyle;Bronze
Viktors erbatihs;M;29;181;319,6702799;Latvia;Weightlifting;Weightlifting Men's Super-Heavyweight;Silver
Justus Scharowsky;M;23;180;171,9605644;Germany;Hockey;Hockey Men's Hockey;Bronze
Martin Schaudt;M;45;185;169,7559417;Germany;Equestrianism;Equestrianism Mixed Dressage, Team;Gold
Maartje Trijntje Scheepstra;F;24;157;125,6634893;Netherlands;Hockey;Hockey Women's Hockey;Silver
Robert Scheidt;M;31;188;167,5513191;Brazil;Sailing;Sailing Mixed One Person Dinghy;Gold
Tobias Schellenberg;M;25;176;158,7328286;Germany;Diving;Diving Men's Synchronized Springboard;Silver
"Jessicah Lee ""Jess"" Schipper";F;17;170;132,2773572;Australia;Swimming;Swimming Women's 4 x 100 metres Medley Relay;Gold
Mette Schjoldager (-Truedsson);F;27;168;134,4819798;Denmark-2;Badminton;Badminton Mixed Doubles;Bronze
Sven Attila Schmid;M;26;188;182,9836775;Germany;Fencing;Fencing Men's epee, Team;Bronze
Hubertus Schmidt;M;44;183;171,9605644;Germany;Equestrianism;Equestrianism Mixed Dressage, Team;Gold
Roland Mark Schoeman;M;24;190;185,1883001;South Africa;Swimming;Swimming Men's 50 metres Freestyle;Bronze
Roland Mark Schoeman;M;24;190;185,1883001;South Africa;Swimming;Swimming Men's 100 metres Freestyle;Silver
Roland Mark Schoeman;M;24;190;185,1883001;South Africa;Swimming;Swimming Men's 4 x 100 metres Freestyle Relay;Gold
"Johanna Dorotheo Maria ""Janneke"" Schopman";F;27;168;143,3004703;Netherlands;Hockey;Hockey Women's Hockey;Silver
Grant Luke Schubert;M;24;180;180,7790548;Australia;Hockey;Hockey Men's Hockey;Gold
Christian Schulte;M;28;196;202,825281;Germany;Hockey;Hockey Men's Hockey;Bronze
Ralf Schumann;M;42;167;160,9374513;Germany;Shooting;Shooting Men's Rapid-Fire Pistol, 25 metres;Gold
Rainer Schttler;M;28;180;154,3235834;Germany;Tennis;Tennis Men's Doubles;Silver
Christian Schwarzer;M;34;196;220,462262;Germany;Handball;Handball Men's Handball;Silver
Luis Alberto Scola Balvoa;M;24;206;238,099243;Argentina;Basketball;Basketball Men's Basketball;Gold
Hugo Ariel Sconochini;M;33;193;211,6437715;Argentina;Basketball;Basketball Men's Basketball;Gold
Antonio Scull Hernndez;M;38;195;211,6437715;Cuba;Baseball;Baseball Men's Baseball;Gold
Giuseppe Sculli;M;23;180;171,9605644;Italy;Football;Football Men's Football;Bronze
Briana Collette Scurry;F;32;175;149,9143382;United States;Football;Football Women's Football;Gold
Roman ebrle;M;29;186;194,0067906;Czech Republic;Athletics;Athletics Men's Decathlon;Gold
Denis efik;M;27;198;253,5316013;Serbia and Montenegro;Water Polo;Water Polo Men's Water Polo;Silver
Guenter H. Seidel;M;43;187;174,165187;United States;Equestrianism;Equestrianism Mixed Dressage, Team;Bronze
Jasna ekari (Brajkovi-);F;38;175;154,3235834;Serbia and Montenegro;Shooting;Shooting Women's Air Pistol, 10 metres;Silver
Kazuto Seki;M;28;167;127,868112;Japan;Sailing;Sailing Men's Two Person Dinghy;Bronze
Rzvan Dorin elariu;M;20;173;160,9374513;Romania;Gymnastics;Gymnastics Men's Team All-Around;Bronze
Alessandra Sensini;F;34;170;121,2542441;Italy;Sailing;Sailing Women's Windsurfer;Bronze
Seog Eun-Mi;F;27;168;132,2773572;South Korea-1;Table Tennis;Table Tennis Women's Doubles;Silver
Andriy Viktorovych Serdinov;M;21;186;169,7559417;Ukraine;Swimming;Swimming Men's 100 metres Butterfly;Bronze
Oleksandr Oleksiyovych Serdiuk;M;26;183;178,5744322;Ukraine;Archery;Archery Men's Team;Bronze
"Kimberly Lyda ""Kim"" Severson (Vinoski-)";F;30;160;119,0496215;United States;Equestrianism;Equestrianism Mixed Three-Day Event, Individual;Silver
"Kimberly Lyda ""Kim"" Severson (Vinoski-)";F;30;160;119,0496215;United States;Equestrianism;Equestrianism Mixed Three-Day Event, Team;Bronze
Leonid Anatoliyovych Shaposhnykov;M;34;192;207,2345263;Ukraine;Rowing;Rowing Men's Quadruple Sculls;Bronze
Sergey Aleksandrovich Sharikov;M;30;182;171,9605644;Russia;Fencing;Fencing Men's Sabre, Team;Bronze
Tatyana Nikolayevna Shchyegoleva;F;22;195;143,3004703;Russia;Basketball;Basketball Women's Basketball;Bronze
Shelda Kelly Bruno Bede;F;31;165;130,0727346;Brazil-1;Beach Volleyball;Beach Volleyball Women's Beach Volleyball;Silver
Marina Igorevna Sheshenina;F;19;181;136,6866024;Russia;Volleyball;Volleyball Women's Volleyball;Silver
Liudmyla Dmytrivna Shevchenko;F;34;183;198,4160358;Ukraine;Handball;Handball Women's Handball;Bronze
Kyle Keith Shewfelt;M;22;164;134,4819798;Canada;Gymnastics;Gymnastics Men's Floor Exercise;Gold
Shi Zhiyong;M;24;160;152,1189608;China;Weightlifting;Weightlifting Men's Featherweight;Gold
Ai Shibata;F;22;176;138,8912251;Japan;Swimming;Swimming Women's 800 metres Freestyle;Gold
Naoyuki Shimizu;M;28;180;182,9836775;Japan;Baseball;Baseball Men's Baseball;Bronze
Anna Vladimirovna Shorina;F;21;161;114,6403762;Russia;Synchronized Swimming;Synchronized Swimming Women's Team;Gold
Tetiana Volodymyrivna Shynkarenko;F;25;175;147,7097155;Ukraine;Handball;Handball Women's Handball;Bronze
Sarah Elaine Siegelaar;F;22;180;163,1420739;Netherlands;Rowing;Rowing Women's Coxed Eights;Bronze
Sileshi Mekuria Sihine;M;21;168;127,868112;Ethiopia;Athletics;Athletics Men's 10,000 metres;Silver
Rui Manuel Monteiro da Silva;M;27;175;143,3004703;Portugal;Athletics;Athletics Men's 1,500 metres;Bronze
Irina Alekseyevna Simagina (-Meleshina);F;22;171;123,4588667;Russia;Athletics;Athletics Women's Long Jump;Silver
Ventzislav Simeonov;M;27;200;231,4853751;Italy;Volleyball;Volleyball Men's Volleyball;Silver
Diederik Rudolf Simon;M;34;190;198,4160358;Netherlands;Rowing;Rowing Men's Coxed Eights;Silver
Sherone Anmarica Simpson;F;19;163;130,0727346;Jamaica;Athletics;Athletics Women's 4 x 100 metres Relay;Gold
Clarinda Maria Sinnige;F;31;179;165,3466965;Netherlands;Hockey;Hockey Women's Hockey;Silver
Nikolaos Siranidis;M;28;175;165,3466965;Greece;Diving;Diving Men's Synchronized Springboard;Gold
Hanna Oleksandrivna Siukalo;F;27;175;134,4819798;Ukraine;Handball;Handball Women's Handball;Bronze
Anna Vitalyevna Sivkova;F;22;176;141,0958477;Russia;Fencing;Fencing Women's epee, Team;Gold
Nataliya Anatolivna Skakun;F;23;160;132,2773572;Ukraine;Weightlifting;Weightlifting Women's Middleweight;Gold
Nika Skelin;M;26;200;227,0761299;Croatia;Rowing;Rowing Men's Coxless Pairs;Silver
Sinia Skelin;M;30;196;202,825281;Croatia;Rowing;Rowing Men's Coxless Pairs;Silver
"Nikolaos ""Nikos"" Skiathitis";M;22;183;160,9374513;Greece;Rowing;Rowing Men's Lightweight Double Sculls;Bronze
Rikke Erhardsen Skov;F;23;181;160,9374513;Denmark;Handball;Handball Women's Handball;Gold
Austra Skujyt;F;24;188;180,7790548;Lithuania;Athletics;Athletics Women's Heptathlon;Silver
Yelena Vladimirovna Slesarenko (Sivushenko-);F;22;178;132,2773572;Russia;Athletics;Athletics Women's High Jump;Gold
Olga Anatolyevna Slyusareva;F;35;168;132,2773572;Russia;Cycling;Cycling Women's Road Race, Individual;Bronze
Olga Anatolyevna Slyusareva;F;35;168;132,2773572;Russia;Cycling;Cycling Women's Points Race;Gold
Minke Smabers (-Smeets);F;25;158;108,0265084;Netherlands;Hockey;Hockey Women's Hockey;Silver
Lenka mdov;F;29;174;130,0727346;Czech Republic;Sailing;Sailing Women's One Person Dinghy;Silver
"Katherine May ""Katie"" Smith";F;30;180;174,165187;United States;Basketball;Basketball Women's Basketball;Gold
Ronetta Jamilah Smith;F;24;168;130,0727346;Jamaica;Athletics;Athletics Women's 4 x 400 metres Relay;Bronze
"Marlies Jeannette Fransisca ""Marlies"" Smulders";F;22;184;171,9605644;Netherlands;Rowing;Rowing Women's Coxed Eights;Bronze
Belinda Rose Snell;F;23;180;176,3698096;Australia;Basketball;Basketball Women's Basketball;Silver
Jiske Snoeks;F;26;166;114,6403762;Netherlands;Hockey;Hockey Women's Hockey;Silver
"Kathryn Michele ""Kate"" Sobrero-Markgraf";F;27;170;134,4819798;United States;Football;Football Women's Football;Gold
"Nicoleta Daniela ""Dana"" ofronie";F;16;146;81,57103694;Romania;Gymnastics;Gymnastics Women's Team All-Around;Gold
"Nicoleta Daniela ""Dana"" ofronie";F;16;146;81,57103694;Romania;Gymnastics;Gymnastics Women's Floor Exercise;Silver
Lyubov Vladimirovna Sokolova-Shashkova (-Kl);F;26;190;163,1420739;Russia;Volleyball;Volleyball Women's Volleyball;Silver
Beata Sokoowska-Kulesza;F;30;160;130,0727346;Poland;Canoeing;Canoeing Women's Kayak Doubles, 500 metres;Bronze
Vlado ola;M;35;194;207,2345263;Croatia;Handball;Handball Men's Handball;Gold
Odlanier Sols Fonte;M;24;180;200,6206584;Cuba;Boxing;Boxing Men's Heavyweight;Gold
Son Seung-Mo;M;24;182;174,165187;South Korea;Badminton;Badminton Men's Singles;Silver
Song Myeong-Seop;M;20;177;149,9143382;South Korea;Taekwondo;Taekwondo Men's Featherweight;Bronze
Song Nina;F;24;179;143,3004703;China;Volleyball;Volleyball Women's Volleyball;Gold
Matteo Soragna;M;28;197;205,0299037;Italy;Basketball;Basketball Men's Basketball;Silver
Kelly Jade Sotherton;F;27;178;145,5050929;Great Britain;Athletics;Athletics Women's Heptathlon;Bronze
Rafael Soto Andrade;M;46;172;163,1420739;Spain;Equestrianism;Equestrianism Mixed Dressage, Team;Silver
Luka pik;M;25;196;209,4391489;Slovenia;Rowing;Rowing Men's Double Sculls;Silver
Nikolay Nikolayevich Spinev;M;30;191;196,2114132;Russia;Rowing;Rowing Men's Quadruple Sculls;Gold
Sabine Spitz;F;32;167;132,2773572;Germany;Cycling;Cycling Women's Mountainbike, Cross-Country;Bronze
Denis poljari;M;24;194;211,6437715;Croatia;Handball;Handball Men's Handball;Gold
Rachael Pamela Sporn;F;36;187;149,9143382;Australia;Basketball;Basketball Women's Basketball;Silver
Goran prem;M;25;183;187,3929227;Croatia;Handball;Handball Men's Handball;Gold
Nicholas Sprenger;M;19;190;194,0067906;Australia;Swimming;Swimming Men's 4 x 200 metres Freestyle Relay;Silver
Amber Val Stachowski;F;21;182;158,7328286;United States;Water Polo;Water Polo Women's Water Polo;Bronze
Dawn Michelle Staley;F;34;165;127,868112;United States;Basketball;Basketball Women's Basketball;Gold
Bryan Steel;M;35;174;154,3235834;Great Britain;Cycling;Cycling Men's Team Pursuit, 4,000 metres;Silver
John William Steffensen;M;21;180;156,528206;Australia;Athletics;Athletics Men's 4 x 400 metres Relay;Silver
Kerstin Stegemann;F;26;170;149,9143382;Germany;Football;Football Women's Football;Bronze
Henrik Stehlik;M;23;175;147,7097155;Germany;Trampolining;Trampolining Men's Individual;Bronze
Hans-Peter Steinacher;M;35;180;160,9374513;Austria;Sailing;Sailing Mixed Multihull;Gold
dm Steinmetz;M;24;198;229,2807525;Hungary;Water Polo;Water Polo Men's Water Polo;Gold
Barnabs Steinmetz;M;28;196;216,0530168;Hungary;Water Polo;Water Polo Men's Water Polo;Gold
Ondej tpnek;M;24;173;171,9605644;Czech Republic-1;Canoeing;Canoeing Men's Canadian Doubles, Slalom;Bronze
Mariya Aleksandrovna Stepanova;F;25;202;187,3929227;Russia;Basketball;Basketball Women's Basketball;Bronze
Daniel Stephan;M;31;198;216,0530168;Germany;Handball;Handball Men's Handball;Silver
John M. Stephens;M;24;182;185,1883001;Australia;Baseball;Baseball Men's Baseball;Silver
Ayeln Lara Stepnik Puche;F;28;169;136,6866024;Argentina;Hockey;Hockey Women's Hockey;Bronze
Craig Julian Stevens;M;24;188;180,7790548;Australia;Swimming;Swimming Men's 4 x 200 metres Freestyle Relay;Silver
Toby Lynn Stevenson;M;27;185;178,5744322;United States;Athletics;Athletics Men's Pole Vault;Silver
"Geoffrey Peter ""Geoff"" Stewart";M;30;200;198,4160358;Australia;Rowing;Rowing Men's Coxed Eights;Bronze
James Alexander Stewart;M;30;200;202,825281;Australia;Rowing;Rowing Men's Coxed Eights;Bronze
"Stephen John ""Steve"" Stewart";M;26;195;198,4160358;Australia;Rowing;Rowing Men's Coxed Eights;Bronze
Hannah Stockbauer;F;22;174;138,8912251;Germany;Swimming;Swimming Women's 4 x 200 metres Freestyle Relay;Bronze
"Phillip Matthew ""Phil"" Stockman";M;24;200;220,462262;Australia;Baseball;Baseball Men's Baseball;Silver
"Viktoriya Ivanivna ""Vita"" Stopina";F;28;176;119,0496215;Ukraine;Athletics;Athletics Women's High Jump;Bronze
Hestrie Storbeck-Cloete (-Els);F;25;185;149,9143382;South Africa;Athletics;Athletics Women's High Jump;Silver
Botond Storcz;M;29;183;191,8021679;Hungary;Canoeing;Canoeing Men's Kayak Fours, 1,000 metres;Gold
Amar'e Carsares Stoudemire;M;24;200;224,8715072;United States;Basketball;Basketball Men's Basketball;Bronze
Dmitry Ivanovich Stratan;M;29;196;224,8715072;Russia;Water Polo;Water Polo Men's Water Polo;Bronze
Daniel Strigel;M;29;196;213,8483941;Germany;Fencing;Fencing Men's epee, Team;Bronze
Silvia Alexandra Stroescu;F;19;156;105,8218858;Romania;Gymnastics;Gymnastics Women's Team All-Around;Gold
Tatyana Sergeyevna Stukalova;F;28;160;138,8912251;Belarus;Weightlifting;Weightlifting Women's Middleweight;Bronze
Paola Lorena Surez;F;28;170;141,0958477;Argentina;Tennis;Tennis Women's Doubles;Bronze
Ioan Silviu Suciu;M;26;169;145,5050929;Romania;Gymnastics;Gymnastics Men's Team All-Around;Bronze
Bakhodirdzhon Sultanov;M;19;166;125,6634893;Uzbekistan;Boxing;Boxing Men's Bantamweight;Bronze
Laura Ann Summerton-Hodges;F;20;190;171,9605644;Australia;Basketball;Basketball Women's Basketball;Silver
Sun Fuming;F;30;178;273,3732049;China;Judo;Judo Women's Heavyweight;Bronze
Sun Tiantian;F;22;175;141,0958477;China-1;Tennis;Tennis Women's Doubles;Gold
Siren Sundby;F;21;165;119,0496215;Norway;Sailing;Sailing Women's One Person Dinghy;Gold
Viorica Susanu;F;28;186;169,7559417;Romania;Rowing;Rowing Women's Coxless Pairs;Gold
Viorica Susanu;F;28;186;169,7559417;Romania;Rowing;Rowing Women's Coxed Eights;Gold
Emiko Suzuki;F;22;168;125,6634893;Japan;Synchronized Swimming;Synchronized Swimming Women's Team;Silver
Keiji Suzuki;M;24;185;220,462262;Japan;Judo;Judo Men's Heavyweight;Gold
Aleksey Vladimirovich Svirin;M;25;202;227,0761299;Russia;Rowing;Rowing Men's Quadruple Sculls;Gold
Sheryl Denice Swoopes;F;33;182;158,7328286;United States;Basketball;Basketball Women's Basketball;Gold
Robert Sycz;M;30;183;165,3466965;Poland;Rowing;Rowing Men's Lightweight Double Sculls;Gold
Szilvia Szab;F;25;170;143,3004703;Hungary;Canoeing;Canoeing Women's Kayak Fours, 500 metres;Silver
Stefan Szczurowski;M;22;190;189,5975453;Australia;Rowing;Rowing Men's Coxed Eights;Bronze
Zoltn Szcsi;M;26;198;211,6437715;Hungary;Water Polo;Water Polo Men's Water Polo;Gold
Yuliya Gennadyevna Tabakova (-Bubnenkova);F;24;165;121,2542441;Russia;Athletics;Athletics Women's 4 x 100 metres Relay;Silver
Carlos Alberto Tabares Padilla;M;30;171;158,7328286;Cuba;Baseball;Baseball Men's Baseball;Gold
Miya Tachibana;F;29;170;121,2542441;Japan;Synchronized Swimming;Synchronized Swimming Women's Duet;Silver
Miya Tachibana;F;29;170;121,2542441;Japan;Synchronized Swimming;Synchronized Swimming Women's Team;Silver
Zersenay Tadesse Habtesilase;M;22;160;119,0496215;Eritrea;Athletics;Athletics Men's 10,000 metres;Bronze
Taeke Wiebe Doekes Taekema;M;24;180;187,3929227;Netherlands;Hockey;Hockey Men's Hockey;Silver
Vitali Tajbert;M;22;166;125,6634893;Germany;Boxing;Boxing Men's Featherweight;Bronze
Yoshinobu Takahashi;M;29;180;191,8021679;Japan;Baseball;Baseball Men's Baseball;Bronze
Juri Takayama;F;27;162;187,3929227;Japan;Softball;Softball Women's Softball;Bronze
Miho Takeda;F;27;165;119,0496215;Japan;Synchronized Swimming;Synchronized Swimming Women's Duet;Silver
Miho Takeda;F;27;165;119,0496215;Japan;Synchronized Swimming;Synchronized Swimming Women's Team;Silver
Angela Tama-Alupei;F;32;181;125,6634893;Romania;Rowing;Rowing Women's Lightweight Double Sculls;Gold
Dimosthenis Tambakos;M;27;163;130,0727346;Greece;Gymnastics;Gymnastics Men's Rings;Gold
Brett Paul Tamburrino;M;22;178;194,0067906;Australia;Baseball;Baseball Men's Baseball;Silver
Aleksander Tammert;M;31;196;264,5547144;Estonia;Athletics;Athletics Men's Discus Throw;Bronze
Ryoko Tamura-Tani;F;28;146;105,8218858;Japan;Judo;Judo Women's Extra-Lightweight;Gold
Tan Xue;F;20;176;169,7559417;China;Fencing;Fencing Women's Sabre, Individual;Silver
Chikara Tanabe;M;29;161;119,0496215;Japan;Wrestling;Wrestling Men's Featherweight, Freestyle;Bronze
Galina Tancheva;F;17;175;112,4357536;Bulgaria;Rhythmic Gymnastics;Rhythmic Gymnastics Women's Group;Bronze
Vladislava Tancheva;F;17;177;114,6403762;Bulgaria;Rhythmic Gymnastics;Rhythmic Gymnastics Women's Group;Bronze
Tang Gonghong;F;25;172;264,5547144;China;Weightlifting;Weightlifting Women's Super-Heavyweight;Gold
Helen Lesley Tanger;F;25;186;154,3235834;Netherlands;Rowing;Rowing Women's Coxed Eights;Bronze
Yoshitomo Tani;M;31;172;169,7559417;Japan;Baseball;Baseball Men's Baseball;Bronze
"Tnia Maria ""Tnia Maranho"" Pereira Ribeiro";F;29;166;121,2542441;Brazil;Football;Football Women's Football;Silver
Ayumi Tanimoto;F;23;158;138,8912251;Japan;Judo;Judo Women's Half-Middleweight;Gold
Bahri Tanrkulu;M;24;185;182,9836775;Turkey;Taekwondo;Taekwondo Men's Welterweight;Silver
Khasanbi Urusbiyevich Taov;M;26;185;176,3698096;Russia;Judo;Judo Men's Middleweight;Bronze
Patricia Anahi Tarabini;F;36;169;132,2773572;Argentina;Tennis;Tennis Women's Doubles;Bronze
Ruslana Oleksivna Taran;F;33;164;119,0496215;Ukraine;Sailing;Sailing Women's Three Person Keelboat;Silver
Luigi Tarantino;M;31;188;209,4391489;Italy;Fencing;Fencing Men's Sabre, Team;Silver
Ionela Trlea-Manolache;F;28;169;125,6634893;Romania;Athletics;Athletics Women's 400 metres Hurdles;Silver
Lindsay Ann Tarpley (-Snow);F;20;165;127,868112;United States;Football;Football Women's Football;Gold
Juri Tatsumi;F;24;160;114,6403762;Japan;Synchronized Swimming;Synchronized Swimming Women's Team;Silver
Diana Lurena Taurasi;F;22;183;154,3235834;United States;Basketball;Basketball Women's Basketball;Gold
Nurcan Taylan;F;20;151;105,8218858;Turkey;Weightlifting;Weightlifting Women's Flyweight;Gold
Leon Roy Taylor;M;26;178;163,1420739;Great Britain;Diving;Diving Men's Synchronized Platform;Silver
"Penelope Jane ""Penny"" Taylor (-Gil-)";F;23;185;158,7328286;Australia;Basketball;Basketball Women's Basketball;Silver
Artur Borisovich Taymazov;M;25;190;264,5547144;Uzbekistan;Wrestling;Wrestling Men's Super-Heavyweight, Freestyle;Gold
Irina Viktorovna Tebenikhina;F;25;189;167,5513191;Russia;Volleyball;Volleyball Women's Volleyball;Silver
Elbrus Soslanovych Tedieiev;M;29;167;145,5050929;Ukraine;Wrestling;Wrestling Men's Welterweight, Freestyle;Gold
Tetiana Heorhivna Teklian-Semykina (-Yatsenkian-);F;30;163;132,2773572;Ukraine;Canoeing;Canoeing Women's Kayak Fours, 500 metres;Bronze
Dulce Mara Tllez Palacio;F;20;179;163,1420739;Cuba;Volleyball;Volleyball Women's Volleyball;Bronze
Teng Haibin;M;19;156;105,8218858;China;Gymnastics;Gymnastics Men's Pommelled Horse;Gold
Tetiana Viktorivna Tereshchuk-Antypova;F;34;185;138,8912251;Ukraine;Athletics;Athletics Women's 400 metres Hurdles;Bronze
Sergey Yuryevich Tetyukhin;M;28;197;196,2114132;Russia;Volleyball;Volleyball Men's Volleyball;Bronze
Jean Georges Marie Teulre;M;50;169;143,3004703;France;Equestrianism;Equestrianism Mixed Three-Day Event, Team;Gold
Carlos Alberto Tvez (Martnez-);M;20;169;169,7559417;Argentina;Football;Football Men's Football;Gold
Jrme Cdric Thomas;M;25;168;112,4357536;France;Boxing;Boxing Men's Flyweight;Silver
Petria Ann Thomas (-Jones);F;28;173;141,0958477;Australia;Swimming;Swimming Women's 4 x 100 metres Freestyle Relay;Gold
Petria Ann Thomas (-Jones);F;28;173;141,0958477;Australia;Swimming;Swimming Women's 100 metres Butterfly;Gold
Petria Ann Thomas (-Jones);F;28;173;141,0958477;Australia;Swimming;Swimming Women's 200 metres Butterfly;Silver
Petria Ann Thomas (-Jones);F;28;173;141,0958477;Australia;Swimming;Swimming Women's 4 x 100 metres Medley Relay;Gold
"Jennifer Elisabeth ""Jenny"" Thompson (-Cumpelik)";F;31;177;152,1189608;United States;Swimming;Swimming Women's 4 x 100 metres Freestyle Relay;Silver
"Jennifer Elisabeth ""Jenny"" Thompson (-Cumpelik)";F;31;177;152,1189608;United States;Swimming;Swimming Women's 4 x 100 metres Medley Relay;Silver
Richard Graeme Thompson;M;20;184;176,3698096;Australia;Baseball;Baseball Men's Baseball;Silver
Tina Marie Thompson;F;29;188;178,5744322;United States;Basketball;Basketball Women's Basketball;Gold
Camilla Ingemann Thomsen (-Haar);F;29;180;156,528206;Denmark;Handball;Handball Women's Handball;Gold
Mary Elizabeth Thomson-King;F;43;178;138,8912251;Great Britain;Equestrianism;Equestrianism Mixed Three-Day Event, Team;Silver
Pawina Thongsuk;F;25;156;149,9143382;Thailand;Weightlifting;Weightlifting Women's Heavyweight;Gold
Andreas Thorkildsen;M;22;188;198,4160358;Norway;Athletics;Athletics Men's Javelin Throw;Gold
Ian James Thorpe;M;21;196;229,2807525;Australia;Swimming;Swimming Men's 100 metres Freestyle;Bronze
Ian James Thorpe;M;21;196;229,2807525;Australia;Swimming;Swimming Men's 200 metres Freestyle;Gold
Ian James Thorpe;M;21;196;229,2807525;Australia;Swimming;Swimming Men's 400 metres Freestyle;Gold
Ian James Thorpe;M;21;196;229,2807525;Australia;Swimming;Swimming Men's 4 x 200 metres Freestyle Relay;Silver
Karin Thrig (-Bucher);F;32;182;147,7097155;Switzerland;Cycling;Cycling Women's Individual Time Trial;Bronze
Tian Liang;M;24;172;132,2773572;China;Diving;Diving Men's Platform;Bronze
Tian Liang;M;24;172;132,2773572;China;Diving;Diving Men's Synchronized Platform;Gold
Aleksey Viktorovich Tishchenko;M;20;167;132,2773572;Russia;Boxing;Boxing Men's Featherweight;Gold
Yelizaveta Ivanovna Tishchenko;F;29;190;167,5513191;Russia;Volleyball;Volleyball Women's Volleyball;Silver
Natalie Lorraine Titcume;F;28;184;187,3929227;Australia;Softball;Softball Women's Softball;Silver
Tamerlan Ruslanovich Tmenov;M;27;185;279,9870727;Russia;Judo;Judo Men's Heavyweight;Silver
Kenjiro Todoroki;M;28;174;165,3466965;Japan;Sailing;Sailing Men's Two Person Dinghy;Bronze
Paolo Tofoli;M;37;188;178,5744322;Italy;Volleyball;Volleyball Men's Volleyball;Silver
Tatyana Ivanovna Tomashova;F;29;164;110,231131;Russia;Athletics;Athletics Women's 1,500 metres;Silver
Hiroyuki Tomita;M;23;166;127,868112;Japan;Gymnastics;Gymnastics Men's Team All-Around;Gold
Hiroyuki Tomita;M;23;166;127,868112;Japan;Gymnastics;Gymnastics Men's Parallel Bars;Silver
James Bruce Tomkins;M;38;199;216,0530168;Australia;Rowing;Rowing Men's Coxless Pairs;Gold
Michael Toon;M;25;168;121,2542441;Australia;Rowing;Rowing Men's Coxed Eights;Bronze
Jenny Louise Topping;F;24;167;171,9605644;United States;Softball;Softball Women's Softball;Gold
Therese Elisabeth Torgersson;F;28;173;134,4819798;Sweden;Sailing;Sailing Women's Two Person Dinghy;Bronze
Dmitry Nikolayevich Torgovanov;M;32;200;231,4853751;Russia;Handball;Handball Men's Handball;Bronze
Carlos Torrent Tarres;M;29;179;163,1420739;Spain;Cycling;Cycling Men's Team Pursuit, 4,000 metres;Bronze
Aureliano Torres Romn;M;22;179;160,9374513;Paraguay;Football;Football Men's Football;Silver
Nomi Tth;F;28;180;147,7097155;Italy;Water Polo;Water Polo Women's Water Polo;Gold
Josephine Maria Touray;F;24;165;125,6634893;Denmark;Handball;Handball Women's Handball;Gold
"Khuloud ""Loudy"" Tourky-Wiggins";F;25;147;99,2080179;Australia;Diving;Diving Women's Platform;Bronze
Arnaud Pierre Armand Tournant;M;26;180;176,3698096;France;Cycling;Cycling Men's 1,000 metres Time Trial;Silver
Arnaud Pierre Armand Tournant;M;26;180;176,3698096;France;Cycling;Cycling Men's Team Sprint;Bronze
Pascal Andr Jean Touron;M;31;176;154,3235834;France;Rowing;Rowing Men's Lightweight Double Sculls;Silver
Damien Michel Touya;M;29;185;176,3698096;France;Fencing;Fencing Men's Sabre, Team;Gold
Gal Touya;M;30;184;167,5513191;France;Fencing;Fencing Men's Sabre, Team;Gold
Nicolas Jean Denis Touzaint;M;24;174;132,2773572;France;Equestrianism;Equestrianism Mixed Three-Day Event, Team;Gold
Darian Roy Townsend;M;19;195;191,8021679;South Africa;Swimming;Swimming Men's 4 x 100 metres Freestyle Relay;Gold
Terrence R. Trammell;M;25;188;185,1883001;United States;Athletics;Athletics Men's 110 metres Hurdles;Silver
Petar Trbojevi;M;30;197;207,2345263;Serbia and Montenegro;Water Polo;Water Polo Men's Water Polo;Silver
Vladyslav Vasylovych Tretiak;M;24;175;132,2773572;Ukraine;Fencing;Fencing Men's Sabre, Individual;Bronze
Giovanna Trillini;F;34;164;130,0727346;Italy;Fencing;Fencing Women's Foil, Individual;Silver
"De'Hashia Tonnek ""DeeDee"" Trotter";F;21;178;141,0958477;United States;Athletics;Athletics Women's 4 x 400 metres Relay;Gold
Rafael Joaqun Trujillo Villar;M;28;184;229,2807525;Spain;Sailing;Sailing Men's One Person Dinghy;Silver
Amy Tryon;F;34;180;165,3466965;United States;Equestrianism;Equestrianism Mixed Three-Day Event, Team;Bronze
Nataliya Valeryevna Tsilinskaya (-Markovnichenko-, -Minashkin);F;28;173;160,9374513;Belarus;Cycling;Cycling Women's 500 metres Time Trial;Bronze
Aimilia Tsoulfa;F;31;169;147,7097155;Greece;Sailing;Sailing Women's Two Person Dinghy;Gold
Athanasia Tsoumeleka;F;22;158;103,6172631;Greece;Athletics;Athletics Women's 20 kilometres Walk;Gold
Maki Tsukada;F;22;170;277,7824501;Japan;Judo;Judo Women's Heavyweight;Gold
Naoya Tsukahara;M;27;166;141,0958477;Japan;Gymnastics;Gymnastics Men's Team All-Around;Gold
