Names;Sex;Age;Height;Weight;Team;Sport;Event;Medal
Scott Michael Brennan;M;25;193;196,2114132;Australia;Rowing;Rowing Men's Double Sculls;Gold
Breno Vinicius Rodrigues Borges;M;18;187;194,0067906;Brazil;Football;Football Men's Football;Bronze
Linda Bresonik;F;24;175;132,2773572;Germany;Football;Football Women's Football;Bronze
George Spencer Bridgewater;M;25;200;213,8483941;New Zealand;Rowing;Rowing Men's Coxless Pairs;Bronze
Christine Brinker-Wenzel;F;27;171;138,8912251;Germany;Shooting;Shooting Women's Skeet;Bronze
Grant Tyson Brits;M;20;188;176,3698096;Australia;Swimming;Swimming Men's 4 x 200 metres Freestyle Relay;Bronze
Norman Brckl;M;21;183;198,4160358;Germany;Canoeing;Canoeing Men's Kayak Fours, 1,000 metres;Bronze
Leith Brodie;M;22;187;185,1883001;Australia;Swimming;Swimming Men's 4 x 100 metres Freestyle Relay;Bronze
Leith Brodie;M;22;187;185,1883001;Australia;Swimming;Swimming Men's 4 x 200 metres Freestyle Relay;Bronze
Brandon Brooks;M;27;198;244,7131108;United States;Water Polo;Water Polo Men's Water Polo;Silver
Travis Neil Brooks;M;28;186;174,165187;Australia;Hockey;Hockey Men's Hockey;Bronze
Tore Brovold;M;38;175;;Norway;Shooting;Shooting Men's Skeet;Silver
"Christopher Deon ""Chris"" Brown";M;29;178;165,3466965;Bahamas;Athletics;Athletics Men's 4 x 400 metres Relay;Silver
Kiel Brown;M;24;172;158,7328286;Australia;Hockey;Hockey Men's Hockey;Bronze
"Matthew Benjamin ""Matt"" Brown";M;25;182;205,0299037;United States;Baseball;Baseball Men's Baseball;Bronze
Stephanie Karenmonica Brown-Trafton;F;28;193;220,462262;United States;Athletics;Athletics Women's Discus Throw;Gold
"Bruno ""Bruninho"" Mossa de Rezende";M;22;190;167,5513191;Brazil;Volleyball;Volleyball Men's Volleyball;Silver
"Robert Charles ""Bob"" Bryan";M;30;193;202,825281;United States-1;Tennis;Tennis Men's Doubles;Bronze
"Michael Carl ""Mike"" Bryan";M;30;191;191,8021679;United States-1;Tennis;Tennis Men's Doubles;Bronze
Kobe Bean Bryant;M;29;198;220,462262;United States;Basketball;Basketball Men's Basketball;Gold
Rachel Marie Buehler (-Van Hollebeke);F;22;165;143,3004703;United States;Football;Football Women's Football;Gold
Darren Bundock;M;37;180;154,3235834;Australia;Sailing;Sailing Mixed Multihull;Silver
Wilfred Kipkemboi Bungei;M;28;172;132,2773572;Kenya;Athletics;Athletics Men's 800 metres;Gold
Diego Mario Buonanotte Rende;M;20;160;108,0265084;Argentina;Football;Football Men's Football;Gold
Caroline Stillwell Burckle;F;22;174;136,6866024;United States;Swimming;Swimming Women's 4 x 200 metres Freestyle Relay;Bronze
Cdric Burdet;M;33;195;216,0530168;France;Handball;Handball Men's Handball;Gold
Claudia Ins Burkart;F;28;165;149,9143382;Argentina;Hockey;Hockey Women's Hockey;Bronze
Steven James Burke;M;20;183;171,9605644;Great Britain;Cycling;Cycling Men's Individual Pursuit, 4,000 metres;Bronze
Jason Nicholas Burnett;M;21;165;149,9143382;Canada;Trampolining;Trampolining Men's Individual;Silver
Marc Burns;M;25;183;200,6206584;Trinidad and Tobago;Athletics;Athletics Men's 4 x 100 metres Relay;Gold
Crystl Irene Bustos;F;30;173;224,8715072;United States;Softball;Softball Women's Softball;Silver
James Andrew Byrnes;M;25;200;205,0299037;Canada;Rowing;Rowing Men's Coxed Eights;Gold
Alba Mara Cabello Rodilla;F;22;163;103,6172631;Spain;Synchronized Swimming;Synchronized Swimming Women's Team;Silver
"Frederike Jacobie ""Mieke"" Cabout";F;22;182;154,3235834;Netherlands;Water Polo;Water Polo Women's Water Polo;Gold
Erin Jane Cafaro (-McKenzie);F;25;175;160,9374513;United States;Rowing;Rowing Women's Coxed Eights;Gold
Trevor John Cahill;M;20;193;218,2576394;United States;Baseball;Baseball Men's Baseball;Bronze
Cai Tongtong;F;18;168;105,8218858;China;Rhythmic Gymnastics;Rhythmic Gymnastics Women's Group;Silver
Cai Yun;M;28;181;149,9143382;China-1;Badminton;Badminton Men's Doubles;Silver
Chiara Cainero;F;30;171;178,5744322;Italy;Shooting;Shooting Women's Skeet;Gold
David Cal Figueroa;M;25;183;189,5975453;Spain;Canoeing;Canoeing Men's Canadian Singles, 500 metres;Silver
David Cal Figueroa;M;25;183;189,5975453;Spain;Canoeing;Canoeing Men's Canadian Singles, 1,000 metres;Silver
"David ""Dave"" Calder";M;30;195;198,4160358;Canada;Rowing;Rowing Men's Coxless Pairs;Silver
Jos Manuel Caldern Borrallo;M;26;191;198,4160358;Spain;Basketball;Basketball Men's Basketball;Silver
Emmanuel Earl Callender;M;24;189;189,5975453;Trinidad and Tobago;Athletics;Athletics Men's 4 x 100 metres Relay;Gold
Ashley John Callus;M;29;188;187,3929227;Australia;Swimming;Swimming Men's 4 x 100 metres Freestyle Relay;Bronze
Ibrahim Camejo Savas;M;26;180;174,165187;Cuba;Athletics;Athletics Men's Long Jump;Bronze
Tracy Cameron;F;33;172;127,868112;Canada;Rowing;Rowing Women's Lightweight Double Sculls;Bronze
Tiago Henrique de Oliveira Camilo;M;26;180;198,4160358;Brazil;Judo;Judo Men's Half-Middleweight;Bronze
Roberto Cammarelle;M;28;190;223,7691959;Italy;Boxing;Boxing Men's Super-Heavyweight;Gold
Cate Natalie Campbell;F;16;186;147,7097155;Australia;Swimming;Swimming Women's 50 metres Freestyle;Bronze
Cate Natalie Campbell;F;16;186;147,7097155;Australia;Swimming;Swimming Women's 4 x 100 metres Freestyle Relay;Bronze
Veronica Angella Campbell-Brown;F;26;168;127,868112;Jamaica;Athletics;Athletics Women's 200 metres;Gold
Fabian Cancellara;M;27;186;178,5744322;Switzerland;Cycling;Cycling Men's Road Race, Individual;Silver
Fabian Cancellara;M;27;186;178,5744322;Switzerland;Cycling;Cycling Men's Individual Time Trial;Gold
Christian Cantwell;M;27;193;339,5118835;United States;Athletics;Athletics Men's Shot Put;Silver
Cao Lei;F;24;168;165,3466965;China;Weightlifting;Weightlifting Women's Heavyweight;Gold
Nadine Capellmann (-Biffar-);F;43;166;112,4357536;Elvis Va;Equestrianism;Equestrianism Mixed Dressage, Team;Gold
Benot Pierre Caranobe;M;28;164;132,2773572;France;Gymnastics;Gymnastics Men's Individual All-Around;Bronze
"Patricia ""Patty"" Cardenas";F;23;170;160,9374513;United States;Water Polo;Water Polo Women's Water Polo;Silver
"Carolina ""Carol"" Demartini de Albuquerque";F;31;182;167,5513191;Brazil;Volleyball;Volleyball Women's Volleyball;Gold
Stefano Carozzo;M;29;193;180,7790548;Italy;Fencing;Fencing Men's epee, Team;Bronze
Yalennis Castillo Ramrez;F;22;174;171,9605644;Cuba;Judo;Judo Women's Half-Heavyweight;Silver
Tamika Devonne Catchings;F;29;185;169,7559417;United States;Basketball;Basketball Women's Basketball;Gold
Milorad avi;M;24;198;191,8021679;Serbia;Swimming;Swimming Men's 100 metres Butterfly;Silver
Henry Carlos Cejudo;M;21;165;121,2542441;United States;Wrestling;Wrestling Men's Featherweight, Freestyle;Gold
Frederich Cepeda Cruz;M;28;177;207,2345263;Cuba;Baseball;Baseball Men's Baseball;Silver
Rakhim Ruslanovich Chakhkiyev;M;25;183;200,6206584;Russia;Boxing;Boxing Men's Heavyweight;Gold
