Names;Sex;Age;Height;Weight;Team;Sport;Event;Medal
Lori Christine Chalupny;F;24;163;134,4819798;United States;Football;Football Women's Football;Gold
Chang Yongxiang;M;24;178;163,1420739;China;Wrestling;Wrestling Men's Middleweight, Greco-Roman;Silver
Nicolas Charbonnier;M;27;173;138,8912251;France;Sailing;Sailing Men's Two Person Dinghy;Bronze
Germain Louis Marcel Chardin;M;25;195;198,4160358;France;Rowing;Rowing Men's Coxless Fours;Bronze
Anne-Caroline Stphanie Chausson;F;30;172;141,0958477;France;Cycling;Cycling Women's BMX;Gold
Yuriy Volodymyrovych Cheban;M;22;185;205,0299037;Ukraine;Canoeing;Canoeing Men's Canadian Singles, 500 metres;Bronze
Chen Jin;M;22;181;160,9374513;China;Badminton;Badminton Men's Singles;Bronze
Chen Ling;F;21;169;127,868112;China;Archery;Archery Women's Team;Silver
Chen Qiuqi;F;28;164;114,6403762;China;Hockey;Hockey Women's Hockey;Silver
Chen Ruolin;F;15;160;103,6172631;China;Diving;Diving Women's Platform;Gold
Chen Ruolin;F;15;160;103,6172631;China;Diving;Diving Women's Synchronized Platform;Gold
Chen Wei-Ling;F;26;149;103,6172631;Chinese Taipei;Weightlifting;Weightlifting Women's Flyweight;Bronze
Chen Xiexia;F;25;152;108,0265084;China;Weightlifting;Weightlifting Women's Flyweight;Gold
Chen Yanqing;F;29;158;127,868112;China;Weightlifting;Weightlifting Women's Lightweight;Gold
Chen Yibing;M;23;160;127,868112;China;Gymnastics;Gymnastics Men's Team All-Around;Gold
Chen Yibing;M;23;160;127,868112;China;Gymnastics;Gymnastics Men's Rings;Gold
Chen Ying;F;30;164;147,7097155;China;Shooting;Shooting Women's Sporting Pistol, 25 metres;Gold
Chen Zhaoxia;F;33;170;132,2773572;China;Hockey;Hockey Women's Hockey;Silver
Lauren Nicole Cheney (-Holiday);F;20;173;154,3235834;United States;Football;Football Women's Football;Gold
Cheng Fei;F;20;152;94,79877266;China;Gymnastics;Gymnastics Women's Team All-Around;Gold
Cheng Fei;F;20;152;94,79877266;China;Gymnastics;Gymnastics Women's Horse Vault;Bronze
Cheng Fei;F;20;152;94,79877266;China;Gymnastics;Gymnastics Women's Balance Beam;Bronze
Cheng Hui;F;35;161;121,2542441;China;Hockey;Hockey Women's Hockey;Silver
Yuliya Igorevna Chermoshanskaya;F;22;174;145,5050929;Russia;Athletics;Athletics Women's 4 x 100 metres Relay;Gold
Tatyana Sergeyevna Chernova;F;20;189;138,8912251;Russia;Athletics;Athletics Women's Heptathlon;Bronze
Anna Vladimirovna Chicherova;F;26;180;125,6634893;Russia;Athletics;Athletics Women's High Jump;Bronze
Yevgeny Aleksandrovich Chigishev;M;29;187;277,7824501;Russia;Weightlifting;Weightlifting Men's Super-Heavyweight;Silver
Arman Konstantinovich Chilmanov;M;24;190;185,1883001;Kazakhstan;Taekwondo;Taekwondo Men's Heavyweight;Bronze
Choi Im-Jeong;F;27;182;165,3466965;South Korea;Handball;Handball Women's Handball;Bronze
Choi Min-Ho;M;27;163;143,3004703;South Korea;Judo;Judo Men's Extra-Lightweight;Gold
Chou Tao;F;20;174;123,4588667;China;Rhythmic Gymnastics;Rhythmic Gymnastics Women's Group;Silver
Michael Frk Christensen;M;22;186;167,5513191;Denmark;Cycling;Cycling Men's Team Pursuit, 4,000 metres;Silver
Chu Mu-Yen;M;26;175;127,868112;Chinese Taipei;Taekwondo;Taekwondo Men's Flyweight;Bronze
Chika Yagazie Chukwumerije;M;24;190;233,6899977;Nigeria;Taekwondo;Taekwondo Men's Heavyweight;Bronze
Oksana Aleksandrovna Chusovitina;F;33;153;94,79877266;Germany;Gymnastics;Gymnastics Women's Horse Vault;Silver
Csar Augusto Cielo Filho;M;21;195;176,3698096;Brazil;Swimming;Swimming Men's 50 metres Freestyle;Gold
Csar Augusto Cielo Filho;M;21;195;176,3698096;Brazil;Swimming;Swimming Men's 100 metres Freestyle;Bronze
Aleksandar iri;M;30;192;198,4160358;Serbia;Water Polo;Water Polo Men's Water Polo;Bronze
"Edward ""Ed"" Clancy";M;23;185;174,165187;Great Britain;Cycling;Cycling Men's Team Pursuit, 4,000 metres;Gold
Bryan Ezra Tsumoru Clay;M;28;180;182,9836775;United States;Athletics;Athletics Men's Decathlon;Gold
Kerron Stephon Clement;M;22;188;189,5975453;United States;Athletics;Athletics Men's 400 metres Hurdles;Silver
Kerron Stephon Clement;M;22;188;189,5975453;United States;Athletics;Athletics Men's 4 x 400 metres Relay;Gold
Ryan Andrew Cochrane;M;19;192;176,3698096;Canada;Swimming;Swimming Men's 1,500 metres Freestyle;Bronze
Karen Cockburn (-Turgeon);F;27;161;121,2542441;Canada;Trampolining;Trampolining Women's Individual;Silver
Jonathan Coeffic;M;27;190;200,6206584;France;Rowing;Rowing Men's Quadruple Sculls;Bronze
Corey Cogdell-Unrein;F;21;173;154,3235834;United States;Shooting;Shooting Women's Trap;Bronze
"Briony Christine ""Bree"" Cole";F;25;160;110,231131;Australia;Diving;Diving Women's Synchronized Platform;Silver
"Malcolm ""Mac"" Cone";M;55;188;180,7790548;Canada;Equestrianism;Equestrianism Mixed Jumping, Team;Silver
Diego Confalonieri;M;29;190;171,9605644;Italy;Fencing;Fencing Men's epee, Team;Bronze
Dalia Contreras Rivero;F;24;155;108,0265084;Venezuela;Taekwondo;Taekwondo Women's Flyweight;Bronze
"Althea Kristina ""Tina"" Cook (Gifford-)";F;37;175;156,528206;Great Britain;Equestrianism;Equestrianism Mixed Three-Day Event, Individual;Bronze
"Althea Kristina ""Tina"" Cook (Gifford-)";F;37;175;156,528206;Great Britain;Equestrianism;Equestrianism Mixed Three-Day Event, Team;Bronze
Nicole Denise Cooke;F;25;167;127,868112;Great Britain;Cycling;Cycling Women's Road Race, Individual;Gold
Steven Coppola, Jr.;M;24;203;220,462262;United States;Rowing;Rowing Men's Coxed Eights;Bronze
Raquel Corral Aznar;F;27;175;143,3004703;Spain;Synchronized Swimming;Synchronized Swimming Women's Team;Silver
Emilio Correa Bayeaux;M;22;180;165,3466965;Cuba;Boxing;Boxing Men's Middleweight;Silver
"Francisco ""Quico"" Corts Juncosa";M;25;181;176,3698096;Spain;Hockey;Hockey Men's Hockey;Silver
Natalie Anne Coughlin (-Hall);F;25;173;138,8912251;United States;Swimming;Swimming Women's 100 metres Freestyle;Bronze
Natalie Anne Coughlin (-Hall);F;25;173;138,8912251;United States;Swimming;Swimming Women's 4 x 100 metres Freestyle Relay;Silver
Natalie Anne Coughlin (-Hall);F;25;173;138,8912251;United States;Swimming;Swimming Women's 4 x 200 metres Freestyle Relay;Bronze
Natalie Anne Coughlin (-Hall);F;25;173;138,8912251;United States;Swimming;Swimming Women's 100 metres Backstroke;Gold
Natalie Anne Coughlin (-Hall);F;25;173;138,8912251;United States;Swimming;Swimming Women's 200 metres Individual Medley;Bronze
Natalie Anne Coughlin (-Hall);F;25;173;138,8912251;United States;Swimming;Swimming Women's 4 x 100 metres Medley Relay;Silver
Mihai Claudiu Covaliu;M;30;181;160,9374513;Romania;Fencing;Fencing Men's Sabre, Individual;Bronze
Kirsty Leigh Coventry (-Seward);F;24;176;141,0958477;Zimbabwe;Swimming;Swimming Women's 100 metres Backstroke;Silver
Kirsty Leigh Coventry (-Seward);F;24;176;141,0958477;Zimbabwe;Swimming;Swimming Women's 200 metres Backstroke;Gold
Kirsty Leigh Coventry (-Seward);F;24;176;141,0958477;Zimbabwe;Swimming;Swimming Women's 200 metres Individual Medley;Silver
Kirsty Leigh Coventry (-Seward);F;24;176;141,0958477;Zimbabwe;Swimming;Swimming Women's 400 metres Individual Medley;Silver
Rohanee Cox;F;27;182;182,9836775;Australia;Basketball;Basketball Women's Basketball;Silver
Stephanie Renee Cox (Lopez-);F;22;168;134,4819798;United States;Football;Football Women's Football;Gold
"Kameryn Louise ""Kami"" Craig";F;21;181;194,0067906;United States;Water Polo;Water Polo Women's Water Polo;Silver
Sal Craviotto Rivero;M;23;192;216,0530168;Spain;Canoeing;Canoeing Men's Kayak Doubles, 500 metres;Gold
Shawn Crawford;M;30;181;189,5975453;United States;Athletics;Athletics Men's 200 metres;Silver
David William Crawshay;M;28;191;196,2114132;Australia;Rowing;Rowing Men's Double Sculls;Gold
Cristiane Rozeira de Souza Silva;F;23;176;152,1189608;Brazil;Football;Football Women's Football;Silver
Ian Lowell Crocker;M;25;193;189,5975453;United States;Swimming;Swimming Men's 4 x 100 metres Medley Relay;Gold
Kylie Cronk;F;24;169;127,868112;Australia;Softball;Softball Women's Softball;Bronze
Emily Ruth Cross;F;21;165;125,6634893;United States;Fencing;Fencing Women's Foil, Team;Silver
Eglis Yaima Cruz Farfn;F;28;159;138,8912251;Cuba;Shooting;Shooting Women's Small-Bore Rifle, Three Positions, 50 metres;Bronze
Lszl Cseh, Jr.;M;22;188;182,9836775;Hungary;Swimming;Swimming Men's 200 metres Butterfly;Silver
Lszl Cseh, Jr.;M;22;188;182,9836775;Hungary;Swimming;Swimming Men's 200 metres Individual Medley;Silver
Lszl Cseh, Jr.;M;22;188;182,9836775;Hungary;Swimming;Swimming Men's 400 metres Individual Medley;Silver
Nikita Cuffe;F;28;179;160,9374513;Australia;Water Polo;Water Polo Women's Water Polo;Bronze
Jeremy Michael Cummings;M;31;188;205,0299037;United States;Baseball;Baseball Men's Baseball;Bronze
Juan Esteban Curuchet;M;43;175;143,3004703;Argentina;Cycling;Cycling Men's Madison;Gold
Francesco D'Aniello;M;39;170;176,3698096;Italy;Shooting;Shooting Men's Double Trap;Silver
Vencelas Dabaya Tientcheu;M;27;167;152,1189608;France;Weightlifting;Weightlifting Men's Lightweight;Silver
"Phillip Peter ""Phil"" Dalhausser";M;28;206;205,0299037;United States-1;Beach Volleyball;Beach Volleyball Men's Beach Volleyball;Gold
Georgeta Damian-Andrunache;F;32;178;165,3466965;Romania;Rowing;Rowing Women's Coxless Pairs;Gold
Georgeta Damian-Andrunache;F;32;178;165,3466965;Romania;Rowing;Rowing Women's Coxed Eights;Bronze
Dang Ye-Seo;F;27;158;110,231131;South Korea;Table Tennis;Table Tennis Women's Team;Bronze
Daniela Alves Lima;F;24;171;145,5050929;Brazil;Football;Football Women's Football;Silver
Taras Hryhoriyovych Danko;M;28;177;185,1883001;Ukraine;Wrestling;Wrestling Men's Light-Heavyweight, Freestyle;Bronze
Dante Guimares Santos do Amaral;M;27;201;189,5975453;Brazil;Volleyball;Volleyball Men's Volleyball;Silver
"Natasha De'Anka ""Tasha"" Danvers (-Smith-)";F;30;173;141,0958477;Great Britain;Athletics;Athletics Women's 400 metres Hurdles;Bronze
Benjamin Ren Pierre Darbelet;M;27;170;132,2773572;France;Judo;Judo Men's Half-Lightweight;Silver
Lara Shiree Davenport;F;24;174;138,8912251;Australia;Swimming;Swimming Women's 4 x 200 metres Freestyle Relay;Gold
Caryn Davies;F;26;193;180,7790548;United States;Rowing;Rowing Women's Coxed Eights;Gold
"David ""Dave"" Davies";M;23;190;185,1883001;Great Britain;Swimming;Swimming Men's 10 kilometres Open Water;Silver
David Davis Cmara;M;31;185;187,3929227;Spain;Handball;Handball Men's Handball;Bronze
Hannah Davis;F;22;167;154,3235834;Australia;Canoeing;Canoeing Women's Kayak Fours, 500 metres;Bronze
Nicole Marie Davis;F;26;167;145,5050929;United States;Volleyball;Volleyball Women's Volleyball;Silver
Gevorg Davtyan;M;25;165;169,7559417;Armenia;Weightlifting;Weightlifting Men's Middleweight;Bronze
Anastasiya Semyonovna Davydova;F;25;170;119,0496215;Russia;Synchronized Swimming;Synchronized Swimming Women's Duet;Gold
Anastasiya Semyonovna Davydova;F;25;170;119,0496215;Russia;Synchronized Swimming;Synchronized Swimming Women's Team;Gold
Nataliya Anatolivna Davydova;F;23;165;154,3235834;Ukraine;Weightlifting;Weightlifting Women's Light-Heavyweight;Bronze
"Michael ""Mike"" Day";M;23;191;205,0299037;United States;Cycling;Cycling Men's BMX;Silver
Bruno Lins Tenrio de Barros;M;21;182;187,3929227;Brazil;Athletics;Athletics Men's 4 x 100 metres Relay;Bronze
Danille de Bruijn;F;30;172;149,9143382;Netherlands;Water Polo;Water Polo Women's Water Polo;Gold
Eva Roma Maria de Goede;F;19;170;134,4819798;Netherlands;Hockey;Hockey Women's Hockey;Gold
Annemiek Nicolien de Haan;F;27;187;154,3235834;Netherlands;Rowing;Rowing Women's Coxed Eights;Silver
Vicente Lenlson de Lima;M;31;166;145,5050929;Brazil;Athletics;Athletics Men's 4 x 100 metres Relay;Bronze
Lisanne Freya de Roever;F;29;172;127,868112;Netherlands;Hockey;Hockey Women's Hockey;Gold
Liam Andrew De Young;M;26;179;165,3466965;Australia;Hockey;Hockey Men's Hockey;Bronze
Rajmond Debevec;M;45;182;158,7328286;Slovenia;Shooting;Shooting Men's Small-Bore Rifle, Three Positions, 50 metres;Bronze
Lucie Dcosse;F;27;168;154,3235834;France;Judo;Judo Women's Half-Middleweight;Silver
Meseret Defar Tola;F;24;159;92,59415004;Ethiopia;Athletics;Athletics Women's 5,000 metres;Bronze
Gervasio Deferr ngel;M;27;166;152,1189608;Spain;Gymnastics;Gymnastics Men's Floor Exercise;Silver
James Frederick DeGale;M;22;183;167,5513191;Great Britain;Boxing;Boxing Men's Middleweight;Gold
Femke Pauline Dekker;F;29;186;154,3235834;Netherlands;Rowing;Rowing Women's Coxed Eights;Silver
Inge Dekker;F;22;183;147,7097155;Netherlands;Swimming;Swimming Women's 4 x 100 metres Freestyle Relay;Gold
"Ashley Jason ""Ash"" Delaney";M;22;185;180,7790548;Australia;Swimming;Swimming Men's 4 x 100 metres Medley Relay;Silver
Marie Claire Delattre-Demory;F;27;172;134,4819798;France;Canoeing;Canoeing Women's Kayak Doubles, 500 metres;Bronze
Carlos Francisco Delfino;M;25;196;209,4391489;Argentina;Basketball;Basketball Men's Basketball;Bronze
Yelena Vyacheslavovna Dementyeva (-Afinogenova);F;26;180;141,0958477;Russia;Tennis;Tennis Women's Singles;Gold
Deng Linlin;F;16;144;74,95716908;China;Gymnastics;Gymnastics Women's Team All-Around;Gold
Alfredo Despaigne Rodrguez;M;22;177;176,3698096;Cuba;Baseball;Baseball Men's Baseball;Silver
Alexandre Despatie;M;23;173;167,5513191;Canada;Diving;Diving Men's Springboard;Silver
Julien Thierry Desprs;M;25;187;191,8021679;France;Rowing;Rowing Men's Coxless Fours;Bronze
"Khrysopigi ""Pigi"" Devetzi";F;32;170;130,0727346;Greece;Athletics;Athletics Women's Triple Jump;Bronze
Vadim Anatolyevich Devyatovsky;M;31;192;253,5316013;Belarus;Athletics;Athletics Men's Hammer Throw;Silver
Ilario Di Bu;M;42;175;198,4160358;Italy;Archery;Archery Men's Team;Silver
ngel Fabin Di Mara Hernndez;M;20;167;121,2542441;Argentina;Football;Football Men's Football;Gold
Flix Manuel Daz Guzmn;M;24;165;145,5050929;Dominican Republic;Boxing;Boxing Men's Light-Welterweight;Gold
Tirunesh Dibaba Keneni;F;23;166;110,231131;Ethiopia;Athletics;Athletics Women's 5,000 metres;Gold
Tirunesh Dibaba Keneni;F;23;166;110,231131;Ethiopia;Athletics;Athletics Women's 10,000 metres;Gold
Andreas Dibowski;M;42;181;160,9374513;Germany;Equestrianism;Equestrianism Mixed Three-Day Event, Team;Gold
"Katherine Mary ""Daisy"" Dick (-Berkeley)";F;36;168;121,2542441;Great Britain;Equestrianism;Equestrianism Mixed Three-Day Event, Team;Bronze
Diego Ribas da Cunha;M;23;173;160,9374513;Brazil;Football;Football Men's Football;Bronze
Wieke Elisabeth Henritte Dijkstra;F;24;162;125,6634893;Netherlands;Hockey;Hockey Women's Hockey;Gold
Didier Dominique Dinart;M;31;197;229,2807525;France;Handball;Handball Men's Handball;Gold
Constantina Di-Tomescu;F;38;160;105,8218858;Romania;Athletics;Athletics Women's Marathon;Gold
Walter Dix;M;22;175;176,3698096;United States;Athletics;Athletics Men's 100 metres;Bronze
Walter Dix;M;22;175;176,3698096;United States;Athletics;Athletics Men's 200 metres;Bronze
Khdafi Djelkhir;M;24;164;125,6634893;France;Boxing;Boxing Men's Featherweight;Silver
Yelena Viktorovna Dmitriyeva;F;25;175;145,5050929;Russia;Handball;Handball Women's Handball;Silver
Dmitry Mikhaylovich Dobroskok;M;24;167;125,6634893;Russia;Diving;Diving Men's Synchronized Platform;Bronze
Nataliya Volodymyrivna Dobrynska;F;26;182;154,3235834;Ukraine;Athletics;Athletics Women's Heptathlon;Gold
Bevan John Docherty;M;31;185;156,528206;New Zealand;Triathlon;Triathlon Men's Olympic Distance;Bronze
Sophie Dodmont;F;34;173;189,5975453;France;Archery;Archery Women's Team;Bronze
Luke Doerner;M;28;192;198,4160358;Australia;Hockey;Hockey Men's Hockey;Bronze
Jason Thomas Donald;M;23;185;189,5975453;United States;Baseball;Baseball Men's Baseball;Bronze
Dong Dong;M;19;168;125,6634893;China;Trampolining;Trampolining Men's Individual;Bronze
Munkhbayar Dorjsuren;F;39;167;112,4357536;Germany;Shooting;Shooting Women's Sporting Pistol, 25 metres;Bronze
Natasa Douchev-Janics;F;26;174;149,9143382;Hungary;Canoeing;Canoeing Women's Kayak Doubles, 500 metres;Gold
Natasa Douchev-Janics;F;26;174;149,9143382;Hungary;Canoeing;Canoeing Women's Kayak Fours, 500 metres;Silver
Novak okovi;M;21;188;176,3698096;Serbia;Tennis;Tennis Men's Singles;Bronze
Gabriela Drgoi;F;15;146;81,57103694;Romania;Gymnastics;Gymnastics Women's Team All-Around;Bronze
Alexander Mah Owens Drysdale;M;29;200;224,8715072;New Zealand;Rowing;Rowing Men's Single Sculls;Bronze
Du Jing;F;24;170;154,3235834;China-1;Badminton;Badminton Women's Doubles;Gold
Du Li;F;26;170;121,2542441;China;Shooting;Shooting Women's Small-Bore Rifle, Three Positions, 50 metres;Gold
Hugues Duboscq;M;26;191;185,1883001;France;Swimming;Swimming Men's 100 metres Breaststroke;Bronze
Hugues Duboscq;M;26;191;185,1883001;France;Swimming;Swimming Men's 200 metres Breaststroke;Bronze
Brian Matthew Duensing;M;25;183;205,0299037;United States;Baseball;Baseball Men's Baseball;Bronze
Alina Alexandra Dumitru (-Croitoru);F;25;158;105,8218858;Romania;Judo;Judo Women's Extra-Lightweight;Gold
Andrea Duran;F;24;168;132,2773572;United States;Softball;Softball Women's Softball;Silver
Giorvis Duvergel Rojas;M;28;175;165,3466965;Cuba;Baseball;Baseball Men's Baseball;Silver
Jamie Raymond Dwyer;M;29;172;149,9143382;Australia;Hockey;Hockey Men's Hockey;Bronze
Rumyana Dimitrova Dzhadzharova-Neykova;F;35;177;169,7559417;Bulgaria;Rowing;Rowing Women's Single Sculls;Gold
Eskild Balschmidt Ebbesen;M;36;185;165,3466965;Denmark;Rowing;Rowing Men's Lightweight Coxless Fours;Gold
Thomas Ebert;M;35;184;158,7328286;Denmark;Rowing;Rowing Men's Lightweight Coxless Fours;Gold
Fernando Echavarri Erasum;M;35;180;167,5513191;Spain;Sailing;Sailing Mixed Multihull;Gold
Torsten Eckbrett;M;24;188;178,5744322;Germany;Canoeing;Canoeing Men's Kayak Fours, 1,000 metres;Bronze
Ross Samuel Edgar;M;25;168;158,7328286;Great Britain;Cycling;Cycling Men's Keirin;Silver
"Kenneth ""Kenny"" Egan";M;26;187;178,5744322;Ireland;Boxing;Boxing Men's Light-Heavyweight;Silver
"Richard Phillip ""Ric"" Egington";M;29;198;229,2807525;Great Britain;Rowing;Rowing Men's Coxed Eights;Silver
Emmanuel Ekpo;M;20;181;165,3466965;Nigeria;Football;Football Men's Football;Silver
Hans Anders Ekstrm;M;27;165;224,8715072;Sweden;Sailing;Sailing Men's Two Person Keelboat;Bronze
Walton Glenn Eller, III;M;26;188;180,7790548;United States;Shooting;Shooting Men's Double Trap;Gold
Emanuel Fernando Scheffler Rego;M;35;190;176,3698096;Brazil-2;Beach Volleyball;Beach Volleyball Men's Beach Volleyball;Bronze
"Matthew D. ""Matt"" Emmons";M;27;175;185,1883001;United States;Shooting;Shooting Men's Small-Bore Rifle, Prone, 50 metres;Silver
Naho Emoto;F;22;171;163,1420739;Japan;Softball;Softball Women's Softball;Gold
Ren Enders;M;21;165;169,7559417;Germany;Cycling;Cycling Men's Team Sprint;Bronze
Tnu Endrekson;M;29;198;229,2807525;Estonia;Rowing;Rowing Men's Double Sculls;Silver
Mirko Englich;M;29;184;211,6437715;Germany;Wrestling;Wrestling Men's Heavyweight, Greco-Roman;Silver
Enkhbatyn Badar-Uugan;M;23;172;119,0496215;Mongolia;Boxing;Boxing Men's Bantamweight;Gold
Sergi Enrique Montserrat;M;20;174;152,1189608;Spain;Hockey;Hockey Men's Hockey;Silver
Michel Enrquez Tamayo;M;29;175;176,3698096;Cuba;Baseball;Baseball Men's Baseball;Silver
Alberto Entrerros Rodrguez;M;31;192;220,462262;Spain;Handball;Handball Men's Handball;Bronze
Ral Entrerros Rodrguez;M;27;193;202,825281;Spain;Handball;Handball Men's Handball;Bronze
Gwladys Patience pangue;F;24;178;194,0067906;France;Taekwondo;Taekwondo Women's Welterweight;Bronze
rika Cristiano dos Santos;F;20;172;121,2542441;Brazil;Football;Football Women's Football;Silver
"Srgio ""Escadinha"" Dutra dos Santos";M;32;184;171,9605644;Brazil;Volleyball;Volleyball Men's Volleyball;Silver
Carlos Mauricio Espnola Lorenzo;M;36;175;158,7328286;Argentina;Sailing;Sailing Mixed Multihull;Bronze
Paola Milagros Espinosa Snchez;F;22;156;105,8218858;Mexico;Diving;Diving Women's Synchronized Platform;Bronze
Mara del Rosario Espinoza Espinoza;F;20;173;154,3235834;Mexico;Taekwondo;Taekwondo Women's Heavyweight;Gold
Ester Aperecida dos Santos;F;25;164;123,4588667;Brazil;Football;Football Women's Football;Silver
Caroline Frances Evers-Swindell (-Meyer);F;29;178;167,5513191;New Zealand;Rowing;Rowing Women's Double Sculls;Gold
