Name;Sex;Age_year;Height_cm;Weight_lbs;Country;Sport;Event;Medal
Simone Arianne Biles;F;19;143;103,6172631;United States;Gymnastics;Gymnastics Women's Individual All-Around;Gold
Simone Arianne Biles;F;19;143;103,6172631;United States;Gymnastics;Gymnastics Women's Team All-Around;Gold
Simone Arianne Biles;F;19;143;103,6172631;United States;Gymnastics;Gymnastics Women's Floor Exercise;Gold
Simone Arianne Biles;F;19;143;103,6172631;United States;Gymnastics;Gymnastics Women's Horse Vault;Gold
Simone Arianne Biles;F;19;143;103,6172631;United States;Gymnastics;Gymnastics Women's Balance Beam;Bronze
Emanuele Birarelli;M;35;202;209,4391489;Italy;Volleyball;Volleyball Men's Volleyball;Silver
Stefan Birevi;M;26;210;229,2807525;Serbia;Basketball;Basketball Men's Basketball;Silver
"Suzanne Brigit ""Sue"" Bird";F;35;175;145,5050929;United States;Basketball;Basketball Women's Basketball;Gold
Dane Alex Bird-Smith;M;24;187;158,7328286;Australia;Athletics;Athletics Men's 20 kilometres Walk;Bronze
Vera Leonidovna Biryukova;F;18;168;103,6172631;Russia;Rhythmic Gymnastics;Rhythmic Gymnastics Women's Group;Gold
Emma Stina Blackstenius;F;20;173;152,1189608;Sweden;Football;Football Women's Football;Silver
Yohan Blake;M;26;180;176,3698096;Jamaica;Athletics;Athletics Men's 4 x 100 metres Relay;Gold
Irina Valeryevna Bliznova;F;29;182;149,9143382;Russia;Handball;Handball Women's Handball;Gold
Anastasiya Ilyinichna Bliznyuk;F;22;173;112,4357536;Russia;Rhythmic Gymnastics;Rhythmic Gymnastics Women's Group;Gold
Pernille Blume;F;22;170;127,868112;Denmark;Swimming;Swimming Women's 50 metres Freestyle;Gold
Pernille Blume;F;22;170;127,868112;Denmark;Swimming;Swimming Women's 4 x 100 metres Medley Relay;Bronze
Jack Bobridge;M;27;180;143,3004703;Australia;Cycling;Cycling Men's Team Pursuit, 4,000 metres;Silver
Vladlena Eduardovna Bobrovnikova;F;28;180;158,7328286;Russia;Handball;Handball Women's Handball;Gold
Gauthier Boccard;M;24;186;174,165187;Belgium;Hockey;Hockey Men's Hockey;Silver
Gbor Gyula Boczk;M;39;192;196,2114132;Hungary;Fencing;Fencing Men's epee, Team;Bronze
Michal Alexandre Bodegas;M;29;192;224,8715072;Italy;Water Polo;Water Polo Men's Water Polo;Bronze
Bogdan Bogdanovi;M;23;197;218,2576394;Serbia;Basketball;Basketball Men's Basketball;Silver
Tijana Bogdanovi;F;18;172;114,6403762;Serbia;Taekwondo;Taekwondo Women's Flyweight;Silver
Andreea Boghian;F;24;186;171,9605644;Romania;Rowing;Rowing Women's Coxed Eights;Bronze
Shmagi Bolkvadze;M;22;170;145,5050929;Georgia;Wrestling;Wrestling Men's Welterweight, Greco-Roman;Bronze
Timo Boll;M;35;181;163,1420739;Germany;Table Tennis;Table Tennis Men's Team;Bronze
Usain St. Leo Bolt;M;29;196;209,4391489;Jamaica;Athletics;Athletics Men's 100 metres;Gold
Usain St. Leo Bolt;M;29;196;209,4391489;Jamaica;Athletics;Athletics Men's 200 metres;Gold
Usain St. Leo Bolt;M;29;196;209,4391489;Jamaica;Athletics;Athletics Men's 4 x 100 metres Relay;Gold
Hamish Byron Bond;M;30;189;196,2114132;New Zealand;Rowing;Rowing Men's Coxless Pairs;Gold
Bohdan Viktorovych Bondarenko;M;26;198;169,7559417;Ukraine;Athletics;Athletics Men's High Jump;Bronze
Tom Boon;M;26;184;178,5744322;Belgium;Hockey;Hockey Men's Hockey;Silver
"Joshua ""Josh"" Booth";M;25;190;205,0299037;Australia;Rowing;Rowing Men's Coxless Fours;Silver
Kjetil Borch;M;26;193;185,1883001;Norway;Rowing;Rowing Men's Double Sculls;Bronze
Yannick Philippe Andr Borel;M;27;197;220,462262;France;Fencing;Fencing Men's epee, Team;Gold
Maurcio Borges Almeida Silva;M;27;199;218,2576394;Brazil;Volleyball;Volleyball Men's Volleyball;Gold
Mariya Olegovna Borisova;F;19;184;209,4391489;Russia;Water Polo;Water Polo Women's Water Polo;Bronze
Ismael Borrero Molina;M;24;160;130,0727346;Cuba;Wrestling;Wrestling Men's Featherweight, Greco-Roman;Gold
Willemijn Bos;F;28;181;152,1189608;Netherlands;Hockey;Hockey Women's Hockey;Silver
Tijana Bokovi;F;19;193;180,7790548;Serbia;Volleyball;Volleyball Women's Volleyball;Silver
Roger-Yves Bost;M;50;176;176,3698096;France;Equestrianism;Equestrianism Mixed Jumping, Team;Gold
Ins Boubakri;F;27;167;123,4588667;Tunisia;Fencing;Fencing Women's Foil, Individual;Bronze
David Alasdair Boudia;M;27;175;160,9374513;United States;Diving;Diving Men's Platform;Bronze
David Alasdair Boudia;M;27;175;160,9374513;United States;Diving;Diving Men's Synchronized Platform;Silver
Carline Bouw;F;31;184;158,7328286;Netherlands;Rowing;Rowing Women's Quadruple Sculls;Silver
Marit Bouwmeester;F;28;177;149,9143382;Netherlands;Sailing;Sailing Women's One Person Dinghy;Gold
"Frentorish ""Tori"" Bowie";F;25;175;127,868112;United States;Athletics;Athletics Women's 100 metres;Silver
"Frentorish ""Tori"" Bowie";F;25;175;127,868112;United States;Athletics;Athletics Women's 200 metres;Bronze
"Frentorish ""Tori"" Bowie";F;25;175;127,868112;United States;Athletics;Athletics Women's 4 x 100 metres Relay;Gold
Jovana Brakoevi-Kancian;F;28;196;180,7790548;Serbia;Volleyball;Volleyball Women's Volleyball;Silver
Julian Brandt;M;20;183;182,9836775;Germany;Football;Football Men's Football;Silver
Ana Maria Florentina Brnz-Popescu;F;31;175;141,0958477;Romania;Fencing;Fencing Women's epee, Team;Gold
Sophie Charlotte Bray;F;26;164;127,868112;Great Britain;Hockey;Hockey Women's Hockey;Gold
Thiago Braz da Silva;M;22;183;165,3466965;Brazil;Athletics;Athletics Men's Pole Vault;Gold
Kelly Brazier;F;26;171;154,3235834;New Zealand;Rugby Sevens;Rugby Sevens Women's Rugby Sevens;Silver
Sebastian Brendel;M;28;192;202,825281;Germany;Canoeing;Canoeing Men's Canadian Singles, 1,000 metres;Gold
Sebastian Brendel;M;28;192;202,825281;Germany;Canoeing;Canoeing Men's Canadian Doubles, 1,000 metres;Gold
Thomas Briels;M;28;172;156,528206;Belgium;Hockey;Hockey Men's Hockey;Silver
Lawrence Brittain;M;25;187;207,2345263;South Africa;Rowing;Rowing Men's Coxless Pairs;Silver
Allison M. Brock;F;36;168;130,0727346;United States;Equestrianism;Equestrianism Mixed Dressage, Team;Bronze
Kristina Brring-Sprehe;F;29;168;119,0496215;Germany;Equestrianism;Equestrianism Mixed Dressage, Individual;Bronze
